"imageWrapperWrapper src","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/rivotril-tablet-05mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102723&q=low&v=1&m=400&webp=1","90","Rivotril Tablet 0.5mg","10 tablets"
"https://chaldn.com/_mpimage/co-dopa-tablet-100mg10mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106446&q=low&v=1&m=400&webp=1","70","Co-dopa Tablet 100mg+10mg","10 tablets"
"https://chaldn.com/_mpimage/rivotril-tablet-1mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107642&q=low&v=1&m=400&webp=1","110","Rivotril Tablet 1mg","10 tablets"
"https://chaldn.com/_mpimage/rivotril-tablet-2mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102724&q=low&v=1&m=400&webp=1","140","Rivotril Tablet 2mg","10 tablets"
"https://chaldn.com/_mpimage/angenta-tablet-05mg10mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D105640&q=low&v=1&m=400&webp=1","50","Angenta Tablet 0.5mg+10mg","10 tablets"
"https://chaldn.com/_mpimage/disopan-tablet-05mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D105769&q=low&v=1&m=400&webp=1","80","Disopan Tablet 0.5mg","10 tablets"
"https://chaldn.com/_mpimage/quiet-tablet-25mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102514&q=low&v=1&m=400&webp=1","30","Quiet Tablet 25mg","10 tablets"
"https://chaldn.com/_mpimage/utromeg-tablet-25mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129294&q=low&v=1&m=400&webp=1","300","Utromeg Tablet 25mg","10 tablets"
"https://chaldn.com/_mpimage/nexcital-tablet-10mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107603&q=low&v=1&m=400&webp=1","130","Nexcital Tablet 10mg","10 tablets"
"https://chaldn.com/_mpimage/neuvital-tablet-100mg200mg200mcg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107605&q=low&v=1&m=400&webp=1","90","Neuvital Tablet 100mg+200mg+200mcg","10 tablets"
"https://chaldn.com/_mpimage/dexit-tablet-05mg10mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106455&q=low&v=1&m=400&webp=1","50","Dexit Tablet 0.5mg+10mg","10 tablets"
"https://chaldn.com/_mpimage/demelon-capsule-3mg-7-capsules?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106454&q=low&v=1&m=400&webp=1","280","Demelon Capsule 3mg","7 capsules"
"https://chaldn.com/_mpimage/demelon-capsule-15mg-7-capsules?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106452&q=low&v=1&m=400&webp=1","161","Demelon Capsule 1.5mg","7 capsules"
"https://chaldn.com/_mpimage/co-dopa-tablet-250mg25mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106447&q=low&v=1&m=400&webp=1","100","Co-dopa Tablet 250mg+25mg","10 tablets"
"https://chaldn.com/_mpimage/truxil-tablet-30mg10mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103025&q=low&v=1&m=400&webp=1","110","Truxil Tablet 30mg+10mg","10 tablets"
"https://chaldn.com/_mpimage/tridyl-tablet-2mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103022&q=low&v=1&m=400&webp=1","55","Tridyl Tablet 2mg","10 tablets"
"https://chaldn.com/_mpimage/perkirol-tablet-2mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107810&q=low&v=1&m=400&webp=1","60","Perkirol Tablet 2mg","10 tablets"
"https://chaldn.com/_mpimage/oxat-tablet-20mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102948&q=low&v=1&m=400&webp=1","120","Oxat Tablet 20mg","10 tablets"
"https://chaldn.com/_mpimage/neurolin-capsule-50mg-10-capsules?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107525&q=low&v=1&m=400&webp=1","150","Neurolin Capsule 50mg","10 capsules"
"https://chaldn.com/_mpimage/neurolep-solution-100ml-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107523&q=low&v=1&m=400&webp=1","160","Neurolep Solution 100ml","1 pc"
"https://chaldn.com/_mpimage/lamicet-tablet-50mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102885&q=low&v=1&m=400&webp=1","200","Lamicet Tablet 50mg","10 tablets"
"https://chaldn.com/_mpimage/iracet-oral-solution-50ml-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107476&q=low&v=1&m=400&webp=1","200","Iracet Oral Solution 50ml","1 pc"
"https://chaldn.com/_mpimage/gabastar-tablet-100mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102865&q=low&v=1&m=400&webp=1","60","Gabastar Tablet 100mg","10 tablets"
"https://chaldn.com/_mpimage/deprex-tablet-10mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106859&q=low&v=1&m=400&webp=1","45","Deprex Tablet 10mg","10 tablets"
"https://chaldn.com/_mpimage/anleptic-suspension-100ml-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D105393&q=low&v=1&m=400&webp=1","300.9","Anleptic Suspension 100ml","1 pc"
"https://chaldn.com/_mpimage/tofranil-tablet-25mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D105570&q=low&v=1&m=400&webp=1","56","Tofranil Tablet 25mg","10 tablets"
"https://chaldn.com/_mpimage/erata-tablet-250mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D105518&q=low&v=1&m=400&webp=1","162","Erata Tablet 250mg","10 tablets"
"https://chaldn.com/_mpimage/epnil-tablet-1mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D105510&q=low&v=1&m=400&webp=1","92.4","Epnil Tablet 1mg","10 tablets"
"https://chaldn.com/_mpimage/prelica-capsule-25mg-10-capsules?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102705&q=low&v=1&m=400&webp=1","110","Prelica Capsule 25mg","10 capsules"
"https://chaldn.com/_mpimage/prelica-capsule-75mg-10-capsules?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102704&q=low&v=1&m=400&webp=1","200","Prelica Capsule 75mg","10 capsules"
"https://chaldn.com/_mpimage/prelica-capsule-50mg-10-capsules?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102703&q=low&v=1&m=400&webp=1","150","Prelica Capsule 50mg","10 capsules"
"https://chaldn.com/_mpimage/nalzin-tablet-10mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102697&q=low&v=1&m=400&webp=1","70","Nalzin Tablet 10mg","10 tablets"
"https://chaldn.com/_mpimage/nalzin-tablet-5mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102696&q=low&v=1&m=400&webp=1","40","Nalzin Tablet 5mg","10 tablets"
"https://chaldn.com/_mpimage/andepram-tablet-10mg-14-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102668&q=low&v=1&m=400&webp=1","182","Andepram Tablet 10mg","14 tablets"
"https://chaldn.com/_mpimage/norry-tablet-3mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107460&q=low&v=1&m=400&webp=1","70","Norry Tablet 3mg","10 tablets"
"https://chaldn.com/_mpimage/gaba-p-capsule-25mg-6-capsules?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107446&q=low&v=1&m=400&webp=1","60","GABA-P Capsule 25mg","6 capsules"
"https://chaldn.com/_mpimage/gaba-p-capsule-50mg-14-capsules?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107444&q=low&v=1&m=400&webp=1","210","GABA-P Capsule 50mg","14 capsules"
"https://chaldn.com/_mpimage/epicet-tablet-500mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107411&q=low&v=1&m=400&webp=1","300","Epicet Tablet 500mg","10 tablets"
"https://chaldn.com/_mpimage/denixil-tablet-025mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107406&q=low&v=1&m=400&webp=1","40","Denixil Tablet 0.25mg","10 tablets"
"https://chaldn.com/_mpimage/pregaba-capsule-75mg-10-capsules?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107250&q=low&v=1&m=400&webp=1","190","Pregaba Capsule 75mg","10 capsules"
"https://chaldn.com/_mpimage/pregaba-capsule-50mg-10-capsules?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107249&q=low&v=1&m=400&webp=1","150","Pregaba Capsule 50mg","10 capsules"
"https://chaldn.com/_mpimage/pregaba-capsule-25mg-10-capsules?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107247&q=low&v=1&m=400&webp=1","105","Pregaba Capsule 25mg","10 capsules"
"https://chaldn.com/_mpimage/pase-tablet-2mg-15-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107238&q=low&v=1&m=400&webp=1","172","Pase Tablet 2mg","15 tablets"
"https://chaldn.com/_mpimage/easium-tablet-5mg-40-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102664&q=low&v=1&m=400&webp=1","27","Easium Tablet 5mg","40 tablets"
"https://chaldn.com/_mpimage/amilin-tablet-25mg-14-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107170&q=low&v=1&m=400&webp=1","24","Amilin Tablet 25mg","14 tablets"
"https://chaldn.com/_mpimage/tegretol-tablet-200mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106419&q=low&v=1&m=400&webp=1","64","Tegretol Tablet 200mg","10 tablets"
"https://chaldn.com/_mpimage/tegretol-syrup-100ml-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106418&q=low&v=1&m=400&webp=1","379","Tegretol Syrup 100ml","1 pc"
"https://chaldn.com/_mpimage/tegretol-cr-tablet-200mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106417&q=low&v=1&m=400&webp=1","95","Tegretol CR Tablet 200mg","10 tablets"
"https://chaldn.com/_mpimage/pandura-tablet-1mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106503&q=low&v=1&m=400&webp=1","90","Pandura Tablet 1mg","10 tablets"
"https://chaldn.com/_mpimage/pandura-tablet-2mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106502&q=low&v=1&m=400&webp=1","120","Pandura Tablet 2mg","10 tablets"
"https://chaldn.com/_mpimage/pandura-tablet-05mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106501&q=low&v=1&m=400&webp=1","70","Pandura Tablet 0.5mg","10 tablets"
"https://chaldn.com/_mpimage/zolium-xr-tablet-1mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102610&q=low&v=1&m=400&webp=1","40","Zolium XR Tablet 1mg","10 tablets"
"https://chaldn.com/_mpimage/zolium-tablet-025mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102608&q=low&v=1&m=400&webp=1","20","Zolium Tablet 0.25mg","10 tablets"
"https://chaldn.com/_mpimage/valex-tablet-200mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102594&q=low&v=1&m=400&webp=1","40","Valex Tablet 200mg","10 tablets"
"https://chaldn.com/_mpimage/repose-tablet-25mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102529&q=low&v=1&m=400&webp=1","35","Repose Tablet 25mg","10 tablets"
"https://chaldn.com/_mpimage/quiet-xr-tablet-200mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102517&q=low&v=1&m=400&webp=1","200","Quiet XR Tablet 200mg","10 tablets"
"https://chaldn.com/_mpimage/pregaben-capsule-75mg-10-capsules?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102498&q=low&v=1&m=400&webp=1","180","Pregaben Capsule 75mg","10 capsules"
"https://chaldn.com/_mpimage/pramin-tablet-25mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102492&q=low&v=1&m=400&webp=1","40","Pramin Tablet 25mg","10 tablets"
"https://chaldn.com/_mpimage/olanap-tablet-10mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106264&q=low&v=1&m=400&webp=1","45","Olanap Tablet 10mg","10 tablets"
"https://chaldn.com/_mpimage/mitaprex-tablet-75mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102442&q=low&v=1&m=400&webp=1","60","Mitaprex Tablet 7.5mg","10 tablets"
"https://chaldn.com/_mpimage/lamogin-tablet-25mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102407&q=low&v=1&m=400&webp=1","100","Lamogin Tablet 25mg","10 tablets"
"https://chaldn.com/_mpimage/hypnofast-tablet-75mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102378&q=low&v=1&m=400&webp=1","100","Hypnofast Tablet 7.5mg","10 tablets"
"https://chaldn.com/_mpimage/gabapen-tablet-100mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102373&q=low&v=1&m=400&webp=1","60","Gabapen Tablet 100mg","10 tablets"
"https://chaldn.com/_mpimage/frenia-tablet-2mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102371&q=low&v=1&m=400&webp=1","50","Frenia Tablet 2mg","10 tablets"
"https://chaldn.com/_mpimage/frenia-tablet-4mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102370&q=low&v=1&m=400&webp=1","80","Frenia Tablet 4mg","10 tablets"
"https://chaldn.com/_mpimage/duloxen-tablet-30mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D105801&q=low&v=1&m=400&webp=1","120","Duloxen Tablet 30mg","10 tablets"
"https://chaldn.com/_mpimage/disopan-tablet-2mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D105797&q=low&v=1&m=400&webp=1","125","Disopan Tablet 2mg","10 tablets"
"https://chaldn.com/_mpimage/barbit-elixir-oral-solution-50ml-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D105201&q=low&v=1&m=400&webp=1","43","Barbit Elixir Oral Solution 50ml","1 pc"
