"imageWrapperWrapper src","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/soricap-capsule-25mg-7-capsules?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107573&q=low&v=1&m=400&webp=1","595","Soricap Capsule 25mg","7 capsules"
"https://chaldn.com/_mpimage/soricap-capsule-10mg-7-capsules?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107574&q=low&v=1&m=400&webp=1","315","Soricap Capsule 10mg","7 capsules"
"https://chaldn.com/_mpimage/nizoder-cream-30g-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107601&q=low&v=1&m=400&webp=1","90","Nizoder Cream 30g","1 pc"
"https://chaldn.com/_mpimage/topicazole-plus-cream-2110gm-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168552&q=low&v=1&m=400&webp=1","40","Topicazole Plus Cream 2%+1%/10gm","1 pc"
"https://chaldn.com/_mpimage/nyclobate-ointment-00520gm-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106262&q=low&v=1&m=400&webp=1","80","Nyclobate Ointment 0.05%/20gm","1 pc"
"https://chaldn.com/_mpimage/nyclobate-nn-cream-05mg5mg1laciu10gm-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106260&q=low&v=1&m=400&webp=1","80","Nyclobate NN Cream (0.5mg+5mg+1LacIU)/10gm","1 pc"
"https://chaldn.com/_mpimage/clovate-scalp-solution-30ml-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106179&q=low&v=1&m=400&webp=1","200","Clovate Scalp Solution 30ml","1 pc"
"https://chaldn.com/_mpimage/clovate-n-ointment-05mg5mg1laciugm-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106326&q=low&v=1&m=400&webp=1","70","Clovate N Ointment (0.5mg+5mg+1LacIU)/gm","1 pc"
"https://chaldn.com/_mpimage/clovate-n-cream-05mg5mg1laciugm-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106325&q=low&v=1&m=400&webp=1","65","Clovate N Cream (0.5mg+5mg+1LacIU)/gm","1 pc"
"https://chaldn.com/_mpimage/vatika-naturals-garlic-enriched-hair-oil-300-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185204&q=low&v=1&m=400&webp=1","890","Vatika Naturals Garlic Enriched Hair Oil","300 ml"
"https://chaldn.com/_mpimage/trugain-scalp-lotion-5-60-ml-bottle?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D167979&q=low&v=1&m=400&webp=1","550","Trugain Scalp Lotion 5% 60 ml bottle",""
