"imageWrapperWrapper src","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/nebanol-powder-5mg250iu-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107814&q=low&v=1&m=400&webp=1","25","Nebanol Powder 5mg+250IU","1 pc"
"https://chaldn.com/_mpimage/xenovate-cream-30gm-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107537&q=low&v=1&m=400&webp=1","140","Xenovate Cream 30gm","1 pc"
"https://chaldn.com/_mpimage/xenosal-ointment-30gm-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129296&q=low&v=1&m=400&webp=1","150","Xenosal Ointment 30gm","1 pc"
"https://chaldn.com/_mpimage/xenoderm-ointment-30gm-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107540&q=low&v=1&m=400&webp=1","150","Xenoderm Ointment 30gm","1 pc"
"https://chaldn.com/_mpimage/telfin-cream-1-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107564&q=low&v=1&m=400&webp=1","180","Telfin Cream 1%","1 pc"
"https://chaldn.com/_mpimage/nebanol-ointment-5mg500iugm-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102929&q=low&v=1&m=400&webp=1","44","Nebanol Ointment (5mg+500IU)/gm","1 pc"
"https://chaldn.com/_mpimage/lulitop-cream-10gm-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102903&q=low&v=1&m=400&webp=1","100","Lulitop Cream 10gm","1 pc"
"https://chaldn.com/_mpimage/halobet-cream-005-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107432&q=low&v=1&m=400&webp=1","130","Halobet Cream 0.05%","1 pc"
"https://chaldn.com/_mpimage/cotson-tablet-10mg-10-tablets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D102658&q=low&v=1&m=400&webp=1","25","Cotson Tablet 10mg","10 tablets"
"https://chaldn.com/_mpimage/topicazole-plus-cream-2110gm-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168552&q=low&v=1&m=400&webp=1","40","Topicazole Plus Cream 2%+1%/10gm","1 pc"
"https://chaldn.com/_mpimage/nyclobate-ointment-00520gm-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106262&q=low&v=1&m=400&webp=1","80","Nyclobate Ointment 0.05%/20gm","1 pc"
"https://chaldn.com/_mpimage/nyclobate-nn-cream-05mg5mg1laciu10gm-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106260&q=low&v=1&m=400&webp=1","80","Nyclobate NN Cream (0.5mg+5mg+1LacIU)/10gm","1 pc"
"https://chaldn.com/_mpimage/femorose-capsule-1000mg-30-capsules?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107335&q=low&v=1&m=400&webp=1","450","Femorose Capsule 1000mg","30 capsules"
