"imageWrapperWrapper src","productV2discountedPrice","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/novomix-30-penfill-100-iuml-cartridge-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129291&q=low&v=1&m=400&webp=1","853.6","880","Novomix  30 Penfill 100 IU/ml Cartridge","1 pc"
"https://chaldn.com/_mpimage/mixtard-30-penfill-cartridge-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D162851&q=low&v=1&m=400&webp=1","494.7","510","Mixtard 30 Penfill Cartridge","1 pc"
"https://chaldn.com/_mpimage/mixtard-30-vial-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D162855&q=low&v=1&m=400&webp=1","399","415","Mixtard 30 Vial","1 pc"
"https://chaldn.com/_mpimage/novorapid-penfill-cartridge-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D149298&q=low&v=1&m=400&webp=1","853.6","880","Novorapid Penfill Cartridge","1 pc"
"https://chaldn.com/_mpimage/diasulin-n-sc-injection-100-iuml-vial?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D162854&q=low&v=1&m=400&webp=1","405","415","Diasulin N SC Injection 100 IU/ml (VIAL)",""
"https://chaldn.com/_mpimage/abasaglar-cartidge100iuml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D162864&q=low&v=1&m=400&webp=1","870","895","Abasaglar Cartidge100IU/ml",""
"https://chaldn.com/_mpimage/maxsulin-3070-pen-set-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D151553&q=low&v=1&m=400&webp=1","213.12","222","Maxsulin 30/70 pen set","each"
"https://chaldn.com/_mpimage/larsulin-3-ml-vial-insulin-1pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D162873&q=low&v=1&m=400&webp=1","576","600","Larsulin 3 ml vial Insulin","each"
"https://chaldn.com/_mpimage/insulatard-penfill100iu3ml-injection-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D162874&q=low&v=1&m=400&webp=1","404.33","460","Insulatard Penfill100IU/3ml Injection","each"
"https://chaldn.com/_mpimage/actrapid-penfill-100iu3ml-injection-1pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174838&q=low&v=1&m=400&webp=1","494","510","Actrapid Penfill 100IU/3ml Injection","each"
"https://chaldn.com/_mpimage/gensulin-m-30-3070-ml-vial-insulin-1pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D162894&q=low&v=1&m=400&webp=1","399","415","Gensulin M 30 (30/70) ml  vial Insulin","each"
"https://chaldn.com/_mpimage/novorapid-flexpen-100u3ml-insulin-1pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D162904&q=low&v=1&m=400&webp=1","1048","1085","NovoRapid flexpen 100U/3ml Insulin","each"
"https://chaldn.com/_mpimage/humalog-mix-25-7525-3-ml-cartridge?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D148645&q=low&v=1&m=400&webp=1","951","980","Humalog Mix 25 (75%+25%) 3 ml cartridge",""
"https://chaldn.com/_mpimage/humulin-3070-cartridge-insulin-1pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163014&q=low&v=1&m=400&webp=1","615","635","Humulin 30/70 Cartridge Insulin","each"
"https://chaldn.com/_mpimage/tresiba-flextouch-1pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163015&q=low&v=1&m=400&webp=1","2720","2750","Tresiba FlexTouch","each"
"https://chaldn.com/_mpimage/actrapid-10ml-vial-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128907&q=best&v=1&m=400&webp=1","399","415","Actrapid 10ml Vial","1 pc"
"https://chaldn.com/_mpimage/insulatard-vial-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163020&q=low&v=1&m=400&webp=1","399","415","Insulatard Vial","1 pc"
"https://chaldn.com/_mpimage/apidra-cartridge-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D149014&q=low&v=1&m=400&webp=1","929","948","Apidra Cartridge","1 pc"
"https://chaldn.com/_mpimage/gensulin-m-3070-cartridge-1-pc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D149857&q=low&v=1&m=400&webp=1","213.12","222","Gensulin M 30/70 Cartridge","1 pc"
