imageWrapperWrapper src,price,nameTextWithEllipsis,subText
https://chaldn.com/_mpimage/aci-wonder-antibacterial-dish-washing-liquid-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122873&q=best&v=1&m=400&webp=1,150,ACI Wonder Antibacterial Dish Washing Liquid,500 ml
https://chaldn.com/_mpimage/trix-dishwashing-liquid-lemon-bottle-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179252&q=best&v=1&m=400&webp=1,150,Trix Dishwashing Liquid Lemon Bottle,500 ml
https://chaldn.com/_mpimage/xpert-dishwash-bar-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141824&q=best&v=1&m=400&webp=1,40,Xpert Dishwash Bar,300 gm
https://chaldn.com/_mpimage/trix-dishwashing-liquid-lemon-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180750&q=best&v=1&m=400&webp=1,270,Trix Dishwashing Liquid (Lemon),1 ltr
https://chaldn.com/_mpimage/bashundhara-lit-liquid-dish-wash-lemon-pouch-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153959&q=best&v=1&m=400&m=400&webp=1,65,Bashundhara Lit Liquid Dish Wash Lemon Pouch,250 ml
https://chaldn.com/_mpimage/bashundhara-lit-dish-wash-bar-lemon-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153965&q=best&v=1&m=400&webp=1,12,Bashundhara Lit Dish Wash Bar Lemon,100 gm
https://chaldn.com/_mpimage/shiny-dishwashing-paste-lemon-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D51830&q=best&v=1&m=400&m=400&webp=1,250,Shiny Dishwashing Paste Lemon,400 gm
https://chaldn.com/_mpimage/trix-dish-washing-bar-lemon-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D154340&q=best&v=1&m=400&webp=1,40,Trix Dish Washing Bar Lemon,300 gm
https://chaldn.com/_mpimage/aci-wonder-antibacterial-dish-washing-refill-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141338&q=best&v=1&m=400&webp=1,70,ACI Wonder Antibacterial Dish Washing Refill,250 ml
https://chaldn.com/_mpimage/finis-lebu-dish-washing-bar-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128461&q=best&v=1&m=400&m=400&webp=1,15,Finis Lebu+ Dish Washing Bar,100 gm
