"imageWrapperWrapper src","productV2discountedPrice","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/hersheys-caramel-syrup-623-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103085&q=best&v=1&m=400&webp=1","899","999","Hershey's Caramel Syrup","623 gm"
"https://chaldn.com/_mpimage/sis-white-sugar-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133711&q=best&v=1&m=400&webp=1","799","1030","Sis White Sugar","2 kg"
"https://chaldn.com/_mpimage/hersheys-chocolate-syrup-623-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103086&q=best&v=1&m=400&webp=1","","1029","Hershey's Chocolate Syrup","623 gm"
"https://chaldn.com/_mpimage/hersheys-strawberry-syrup-623-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174494&q=best&v=1&m=400&m=400&webp=1","","939","Hershey's Strawberry Syrup","623 gm"
"https://chaldn.com/_mpimage/hersheys-cocoa-powder-jar-226-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103088&q=best&v=1&m=400&m=400&webp=1","","950","Hershey's Cocoa Powder Jar","226 gm"
"https://chaldn.com/_mpimage/foster-clarks-culinary-essence-rose-28-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D110786&q=best&v=1&m=400&webp=1","","140","Foster Clark's Culinary Essence Rose","28 ml"
"https://chaldn.com/_mpimage/ekata-cake-decoration-color-rice-25-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D158237&q=best&v=1&m=400&webp=1","","70","Ekata Cake Decoration Color Rice","25 gm"
"https://chaldn.com/_mpimage/cadbury-cocoa-powder-tin-125-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126358&q=best&v=1&m=400&webp=1","419","550","Cadbury Cocoa Powder (Tin)","125 gm"
"https://chaldn.com/_mpimage/carnation-milk-thai-405-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126596&q=best&v=1&m=400&webp=1","","299","Carnation Milk (Thai)","405 gm"
"https://chaldn.com/_mpimage/foster-clarks-food-colour-red-28-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D112888&q=best&v=1&m=400&webp=1","","140","Foster Clark's Food Colour (Red)","28 ml"
"https://chaldn.com/_mpimage/yeast-bottle-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D149221&q=best&v=1&m=400&webp=1","","75","Yeast Bottle","40 gm"
"https://chaldn.com/_mpimage/baking-soda-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D47984&q=low&v=1&m=400&webp=1","","25","Baking Soda","100 gm"
"https://chaldn.com/_mpimage/foster-clarks-baking-powder-450-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128569&q=best&v=1&m=400&webp=1","","620","Foster Clark's Baking Powder","450 gm"
"https://chaldn.com/_mpimage/ahmed-baking-powder-tin-265-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122974&q=best&v=1&m=400&webp=1","","120","Ahmed Baking Powder Tin","265 gm"
"https://chaldn.com/_mpimage/sugar-candy-tal-misri-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48011&q=best&v=1&m=400&webp=1","","45","Sugar Candy (Tal Misri)","200 gm"
"https://chaldn.com/_mpimage/foster-clarks-corn-flour-powder-tin-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D173670&q=best&v=1&m=400&webp=1","","430","Foster Clark's Corn Flour Powder Tin","400 gm"
"https://chaldn.com/_mpimage/saad-yeast-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D72071&q=best&v=1&m=400&m=400&webp=1","","65","Saad Yeast","50 gm"
"https://chaldn.com/_mpimage/foster-clarks-bicarbonate-soda-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128571&q=best&v=1&m=400&webp=1","","275","Foster Clark's Bicarbonate Soda","150 gm"
"https://chaldn.com/_mpimage/bread-crumbs-loose-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126244&q=best&v=1&m=400&webp=1","45","49","Bread Crumbs Loose","200 gm"
"https://chaldn.com/_mpimage/cinnamon-daruchini-powder-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185610&q=best&v=1&m=400&m=400&webp=1","","68","Cinnamon (Daruchini) Powder","50 gm"
