"imageWrapperWrapper src","price","nameTextWithEllipsis","subText","productV2discountedPrice"
"https://chaldn.com/_mpimage/aci-nutrilife-multigrain-atta-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177153&q=best&v=1&m=400&m=400&webp=1","180","ACI Nutrilife Multigrain Atta","2 kg",""
"https://chaldn.com/_mpimage/farmers-gold-wheat-broken-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136730&q=best&v=1&m=400&webp=1","140","Farmer's Gold Wheat Broken","1 kg",""
"https://chaldn.com/_mpimage/mashkalai-beshon-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126674&q=best&v=1&m=400&m=400&webp=1","160","Mashkalai Beshon","500 gm",""
"https://chaldn.com/_mpimage/aci-nutrilife-brown-flour-atta-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177378&q=best&v=1&m=400&webp=1","70","ACI Nutrilife Brown Flour (Atta)","1 kg",""
"https://chaldn.com/_mpimage/foodela-atta-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178519&q=best&v=1&m=400&webp=1","130","Foodela  Atta","2 kg","119"
"https://chaldn.com/_mpimage/akij-essential-atta-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122499&q=best&v=1&m=400&webp=1","130","Akij Essential Atta","2 kg",""
"https://chaldn.com/_mpimage/aci-nutrilife-brown-atta-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177148&q=best&v=1&m=400&webp=1","140","ACI Nutrilife Brown Atta","2 kg",""
"https://chaldn.com/_mpimage/fresh-whole-wheat-flour-atta-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97223&q=best&v=1&m=400&webp=1","140","Fresh Whole Wheat Flour (Atta)","2 kg","130"
"https://chaldn.com/_mpimage/sunshine-maida-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D160941&q=best&v=1&m=400&webp=1","144","Sunshine Maida","2 kg",""
"https://chaldn.com/_mpimage/pusti-flour-atta-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109912&q=best&v=1&m=400&webp=1","130","Pusti Flour (Atta)","2 kg",""
"https://chaldn.com/_mpimage/corn-flour-loose-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48033&q=best&v=1&m=400&webp=1","65","Corn Flour (Loose)","500 gm",""
"https://chaldn.com/_mpimage/shaad-flour-atta-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133503&q=best&v=1&m=400&webp=1","130","Shaad Flour (Atta)","2 kg",""
"https://chaldn.com/_mpimage/fresh-flour-atta-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97220&q=best&v=1&m=400&webp=1","130","Fresh Flour (Atta)","2 kg","120"
"https://chaldn.com/_mpimage/teer-whole-wheat-flour-atta-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101279&q=best&v=1&m=400&webp=1","140","Teer Whole Wheat Flour (Atta)","2 kg",""
"https://chaldn.com/_mpimage/white-rice-flour-chaler-gura-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D149195&q=best&v=1&m=400&webp=1","110","White Rice Flour (Chaler Gura)","1 kg",""
"https://chaldn.com/_mpimage/aci-pure-flour-atta-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177377&q=best&v=1&m=400&webp=1","130","ACI Pure Flour (Atta)","2 kg",""
"https://chaldn.com/_mpimage/fresh-white-flour-maida-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97222&q=best&v=1&m=400&webp=1","140","Fresh White Flour (Maida)","2 kg","128"
"https://chaldn.com/_mpimage/akij-essential-maida-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122501&q=best&v=1&m=400&webp=1","150","Akij Essential Maida","2 kg",""
"https://chaldn.com/_mpimage/bashundhara-flour-atta-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125452&q=best&v=1&m=400&webp=1","130","Bashundhara Flour (Atta)","2 kg",""
"https://chaldn.com/_mpimage/pusti-white-flour-maida-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174579&q=best&v=1&m=400&webp=1","140","Pusti White Flour (Maida)","2 kg","129"
"https://chaldn.com/_mpimage/aci-pure-white-flour-maida-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115124&q=best&v=1&m=400&webp=1","140","ACI Pure White Flour (Maida)","2 kg",""
"https://chaldn.com/_mpimage/teer-white-flour-maida-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101278&q=best&v=1&m=400&webp=1","140","Teer White Flour (Maida)","2 kg",""
"https://chaldn.com/_mpimage/uncle-barns-tempura-flour-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185237&q=low&v=1&m=400&m=400&webp=1","275","Uncle Barn's Tempura Flour","500 gm",""
"https://chaldn.com/_mpimage/teer-flour-atta-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101280&q=best&v=1&m=400&webp=1","130","Teer Flour (Atta)","2 kg",""
"https://chaldn.com/_mpimage/chickpea-flour-boot-beshon-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176725&q=best&v=1&m=400&webp=1","75","Chickpea Flour (Boot Beshon)","500 gm",""
"https://chaldn.com/_mpimage/rahul-atta-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185256&q=best&v=1&m=400&webp=1","65","Rahul Atta","1 kg",""
"https://chaldn.com/_mpimage/rahul-maida-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185259&q=best&v=1&m=400&webp=1","75","Rahul Maida","1 kg",""
"https://chaldn.com/_mpimage/rahul-atta-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185257&q=best&v=1&m=400&webp=1","128","Rahul Atta","2 kg",""
"https://chaldn.com/_mpimage/flour-atta-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185390&q=best&v=1&m=400&webp=1","65","Flour (Atta)","1 kg","49"
