"imageWrapperWrapper src","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/haribo-happy-cola-sour-candy-160-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D73812&q=best&v=1&m=400&webp=1","460","Haribo Happy Cola Sour Candy","160 gm"
"https://chaldn.com/_mpimage/haribo-happy-cola-candy-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129125&q=best&v=1&m=400&webp=1","250","Haribo Happy Cola Candy","80 gm"
"https://chaldn.com/_mpimage/olympic-tetul-sweet-sour-lozenge-candy-50-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131558&q=best&v=1&m=400&webp=1","50","Olympic Tetul Sweet & Sour Lozenge (Candy)","50 pcs"
"https://chaldn.com/_mpimage/foxs-crystal-clear-fruits-candy-pack-90-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141399&q=best&v=1&m=400&webp=1","175","Fox's Crystal Clear Fruits Candy Pack","90 gm"
"https://chaldn.com/_mpimage/haribo-chamallows-party-candy-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127434&q=best&v=1&m=400&webp=1","400","Haribo Chamallows Party Candy","150 gm"
"https://chaldn.com/_mpimage/cavendish-harvey-candy-wild-berry-drops-175-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122366&q=best&v=1&m=400&m=400&webp=1","449","Cavendish & Harvey Candy Wild Berry Drops","175 gm"
"https://chaldn.com/_mpimage/haribo-happy-grapes-candy-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D83541&q=best&v=1&m=400&webp=1","250","Haribo Happy Grapes Candy","80 gm"
"https://chaldn.com/_mpimage/haribo-worms-zourr-candy-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74421&q=best&v=1&m=400&webp=1","250","Haribo Worms Zourr Candy","80 gm"
"https://chaldn.com/_mpimage/haribo-happy-cola-candy-160-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D73810&q=low&v=1&m=400&webp=1","460","Haribo Happy Cola Candy","160 gm"
"https://chaldn.com/_mpimage/haribo-goldbears-candy-160-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101123&q=best&v=1&m=400&webp=1","460","Haribo GoldBears Candy","160 gm"
"https://chaldn.com/_mpimage/foxs-crystal-clear-berries-candy-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141401&q=best&v=1&m=400&webp=1","345","Fox's Crystal Clear Berries Candy","180 gm"
