"imageWrapperWrapper src","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/kinder-joy-girls-20-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178902&q=best&v=1&m=400&webp=1","120","Kinder Joy (Girls)","20 gm"
"https://chaldn.com/_mpimage/cadbury-dairy-milk-chocolate-bar-12-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128477&q=best&v=1&m=400&webp=1","45","Cadbury Dairy Milk Chocolate Bar","12 gm"
"https://chaldn.com/_mpimage/cadbury-5-star-chocolate-bar-21-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D151194&q=best&v=1&m=400&webp=1","40","Cadbury 5 Star Chocolate Bar","21 gm"
"https://chaldn.com/_mpimage/kinder-schoko-bons-crispy-milk-and-cocoa-flavor-224-gm-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174669&q=best&v=1&m=400&webp=1","120","Kinder Schoko-Bons Crispy Milk And Cocoa Flavor 22.4 gm","4 pcs"
"https://chaldn.com/_mpimage/cadbury-dairy-milk-silk-plain-chocolate-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178547&q=best&v=1&m=400&webp=1","180","Cadbury Dairy Milk Silk Plain Chocolate","40 gm"
"https://chaldn.com/_mpimage/snickers-chocolate-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D134866&q=best&v=1&m=400&webp=1","150","Snickers Chocolate","50 gm"
"https://chaldn.com/_mpimage/kinder-joy-boys-20-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178894&q=best&v=1&m=400&webp=1","120","Kinder Joy (Boys)","20 gm"
"https://chaldn.com/_mpimage/munchys-oat-krunch-dark-chocolate-cookies-208-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141630&q=best&v=1&m=400&webp=1","480","Munchy's Oat Krunch Dark Chocolate Cookies","208 gm"
"https://chaldn.com/_mpimage/cadbury-dairy-milk-chocolate-23-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D161454&q=best&v=1&m=400&webp=1","75","Cadbury Dairy Milk Chocolate","23 gm"
"https://chaldn.com/_mpimage/ferrero-rocher-collection-pralines-2694-gm-24-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177531&q=best&v=1&m=400&m=400&webp=1","1800","Ferrero Rocher Collection Pralines 269.4 gm","24 pcs"
"https://chaldn.com/_mpimage/ferrero-confetteria-chocolate-raffaello-t3-30-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176661&q=best&v=1&m=400&webp=1","160","Ferrero Confetteria Chocolate Raffaello T3","30 gm"
"https://chaldn.com/_mpimage/ferrero-confetteria-chocolate-raffaello-t15-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176660&q=best&v=1&m=400&webp=1","750","Ferrero Confetteria Chocolate Raffaello T15","150 gm"
"https://chaldn.com/_mpimage/cadbury-dairy-milk-silk-mousse-chocolate-bar-116-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178877&q=best&v=1&m=400&m=400&webp=1","550","Cadbury Dairy Milk Silk Mousse Chocolate Bar","116 gm"
"https://chaldn.com/_mpimage/cadbury-dairy-milk-silk-mousse-chocolate-bar-485-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D161051&q=best&v=1&m=400&webp=1","230","Cadbury Dairy Milk Silk Mousse Chocolate Bar","48.5 gm"
"https://chaldn.com/_mpimage/cadbury-dairy-milk-silk-roast-almond-chocolate-bar-143-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128513&q=best&v=1&m=400&webp=1","550","Cadbury Dairy Milk Silk Roast Almond Chocolate Bar","143 gm"
"https://chaldn.com/_mpimage/nestle-kitkat-chunky-white-chocolate-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103728&q=best&v=1&m=400&m=400&webp=1","140","Nestle KitKat Chunky White Chocolate","40 gm"
"https://chaldn.com/_mpimage/kind-caramel-almond-sea-salt-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D98399&q=best&v=1&m=400&webp=1","295","Kind Caramel Almond & Sea Salt","40 gm"
"https://chaldn.com/_mpimage/kind-salted-caramel-dark-chocolate-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D98390&q=best&v=1&m=400&webp=1","295","Kind Salted Caramel Dark Chocolate","40 gm"
"https://chaldn.com/_mpimage/nestle-kitkat-2-fingers-177-gm-3-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95617&q=best&v=1&m=400&webp=1","175","Nestle KitKat 2 Fingers 17.7 gm","3 pcs"
"https://chaldn.com/_mpimage/nestle-kitkat-4-fingers-365-gm-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95389&q=best&v=1&m=400&webp=1","220","Nestle KitKat 4 Fingers 36.5 gm","2 pcs"
"https://chaldn.com/_mpimage/erko-mallow-world-mmas-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108674&q=best&v=1&m=400&m=400&webp=1","395","Erko Mallow World Mmas","180 gm"
"https://chaldn.com/_mpimage/erko-mallow-world-pink-white-mallow-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108675&q=best&v=1&m=400&m=400&webp=1","199","Erko Mallow World Pink & White Mallow","100 gm"
