"imageWrapperWrapper src","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/aci-pure-salt-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D47100&q=best&v=1&m=400&webp=1","42","ACI Pure Salt","1 kg"
"https://chaldn.com/_mpimage/aci-pure-salt-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D57736&q=best&v=1&m=400&webp=1","22","ACI Pure Salt","500 gm"
"https://chaldn.com/_mpimage/sugar-candy-tal-misri-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48011&q=best&v=1&m=400&webp=1","45","Sugar Candy (Tal Misri)","200 gm"
"https://chaldn.com/_mpimage/fresh-refined-sugar-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113128&q=best&v=1&m=400&webp=1","105","Fresh Refined Sugar","1 kg"
"https://chaldn.com/_mpimage/teer-sugar-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101003&q=best&v=1&m=400&webp=1","105","Teer Sugar","1 kg"
"https://chaldn.com/_mpimage/fresh-super-premium-vacuum-salt-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128654&q=best&v=1&m=400&webp=1","42","Fresh Super Premium (Vacuum) Salt","1 kg"
"https://chaldn.com/_mpimage/starship-refined-sugar-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174230&q=best&v=1&m=400&webp=1","105","Starship Refined Sugar","1 kg"
"https://chaldn.com/_mpimage/rock-salt-bit-lobon-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138598&q=best&v=1&m=400&webp=1","51","Rock Salt (Bit Lobon)","100 gm"
"https://chaldn.com/_mpimage/top-testing-salt-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141243&q=best&v=1&m=400&webp=1","50","Top Testing salt","100 gm"
"https://chaldn.com/_mpimage/pran-iodized-salt-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132238&q=best&v=1&m=400&webp=1","42","Pran Iodized Salt","1 kg"
"https://chaldn.com/_mpimage/sis-brown-sugar-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133670&q=best&v=1&m=400&webp=1","759","Sis Brown Sugar","800 gm"
"https://chaldn.com/_mpimage/sis-white-sugar-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133711&q=best&v=1&m=400&webp=1","1030","Sis White Sugar","2 kg"
"https://chaldn.com/_mpimage/aci-sprinkle-salt-pepper-mix-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174550&q=best&v=1&m=400&webp=1","125","ACI Sprinkle Salt & Pepper Mix","100 gm"
