"imageWrapperWrapper src","price","nameTextWithEllipsis","subText","productV2discountedPrice"
"https://chaldn.com/_mpimage/farmers-gold-protein-powder-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131671&q=best&v=1&m=400&webp=1","450","Farmer's Gold Protein Powder","200 gm",""
"https://chaldn.com/_mpimage/saffron-jafran-1-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D18137&q=best&v=1&m=400&webp=1","365","Saffron (Jafran)","1 gm","319"
"https://chaldn.com/_mpimage/farmers-gold-triphala-powder-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128408&q=best&v=1&m=400&webp=1","90","Farmer's Gold Triphala Powder","100 gm",""
"https://chaldn.com/_mpimage/farmers-gold-oshwagandha-powder-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128398&q=best&v=1&m=400&webp=1","140","Farmer's Gold Oshwagandha powder","100 gm",""
"https://chaldn.com/_mpimage/fit-food-chia-seed-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109861&q=best&v=1&m=400&webp=1","320","Fit Food Chia Seed","200 gm",""
"https://chaldn.com/_mpimage/bpm-kaun-rice-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48067&q=best&v=1&m=400&m=400&webp=1","110","BPM Kaun Rice","500 gm",""
"https://chaldn.com/_mpimage/chia-seed-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D78545&q=best&v=1&m=400&webp=1","89","Chia Seed","100 gm","65"
"https://chaldn.com/_mpimage/ceylon-coconut-cream-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D92021&q=best&v=1&m=400&m=400&webp=1","400","Ceylon Coconut Cream","400 gm","339"
"https://chaldn.com/_mpimage/dhaka-dough-black-cumin-oil-80-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D47192&q=best&v=1&m=400&webp=1","620","Dhaka Dough Black Cumin Oil","80 ml",""
"https://chaldn.com/_mpimage/bpm-white-binni-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48068&q=best&v=1&m=400&m=400&webp=1","170","BPM White Binni Rice","1 kg",""
