"imageWrapperWrapper src","productV2discountedPrice","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/white-chick-peas-kabuli-boot-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183019&q=best&v=1&m=400&webp=1","129","135","White Chick Peas (Kabuli Boot)","500 gm"
"https://chaldn.com/_mpimage/teer-red-lentil-moshur-dal-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101041&q=best&v=1&m=400&webp=1","","130","Teer Red Lentil (Moshur) Dal","1 kg"
"https://chaldn.com/_mpimage/khosha-chara-chola-boot-peeled-chick-pea-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D47044&q=best&v=1&m=400&webp=1","69","75","Khosha Chara Chola Boot (Peeled Chick Pea)","500 gm"
"https://chaldn.com/_mpimage/kangaroo-lentil-moshur-dal-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182386&q=best&v=1&m=400&webp=1","169","180","Kangaroo Lentil (Moshur Dal)","1 kg"
"https://chaldn.com/_mpimage/aarong-natural-moshur-dal-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122769&q=best&v=1&m=400&webp=1","","165","Aarong Natural Moshur Dal","1 kg"
"https://chaldn.com/_mpimage/mixed-dal-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182355&q=best&v=1&m=400&webp=1","75","79","Mixed Dal","500 gm"
"https://chaldn.com/_mpimage/mashkolai-dal-peeled-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183017&q=best&v=1&m=400&webp=1","","95","Mashkolai Dal Peeled","500 gm"
"https://chaldn.com/_mpimage/fresh-premium-moshur-dal-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127721&q=best&v=1&m=400&webp=1","","175","Fresh Premium Moshur Dal","1 kg"
"https://chaldn.com/_mpimage/dubli-boot-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183018&q=best&v=1&m=400&webp=1","39","44","Dubli Boot","500 gm"
"https://chaldn.com/_mpimage/moshur-dal-imported-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182353&q=best&v=1&m=400&webp=1","","59","Moshur Dal (Imported)","500 gm"
"https://chaldn.com/_mpimage/moshur-dal-deshi-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182384&q=best&v=1&m=400&webp=1","159","169","Moshur Dal (Deshi)","1 kg"
"https://chaldn.com/_mpimage/chola-boot-chick-peas-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126716&q=best&v=1&m=400&webp=1","109","120","Chola Boot (Chick Peas)","1 kg"
"https://chaldn.com/_mpimage/moshur-dal-imported-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182354&q=best&v=1&m=400&webp=1","115","120","Moshur Dal (Imported)","1 kg"
"https://chaldn.com/_mpimage/split-pea-motor-dal-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D47054&q=best&v=1&m=400&webp=1","","85","Split Pea (Motor Dal)","500 gm"
"https://chaldn.com/_mpimage/pran-moshur-dal-deshi-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D98671&q=best&v=1&m=400&webp=1","","185","Pran Moshur Dal (Deshi)","1 kg"
"https://chaldn.com/_mpimage/mug-dal-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183437&q=best&v=1&m=400&webp=1","89","95","Mug Dal","500 gm"
"https://chaldn.com/_mpimage/anchor-boot-dal-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182388&q=best&v=1&m=400&webp=1","35","39","Anchor Boot Dal","500 gm"
"https://chaldn.com/_mpimage/pran-mug-dal-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108367&q=best&v=1&m=400&webp=1","","100","Pran Mug Dal","500 gm"
