"imageWrapperWrapper src","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/ultra-probiotic-strawberry-yogurt-drink-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124771&q=best&v=1&m=400&m=400&webp=1","40","Ultra Probiotic Strawberry Yogurt Drink","200 ml"
"https://chaldn.com/_mpimage/shakti-strawberry-delight-kids-4-pcs-320-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168326&q=best&v=1&m=400&webp=1","186","Shakti+ Strawberry Delight (Kids) 4 pcs","320 gm"
"https://chaldn.com/_mpimage/pran-drinking-yogurt-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D118710&q=best&v=1&m=400&m=400&webp=1","30","Pran Drinking Yogurt","200 ml"
"https://chaldn.com/_mpimage/aarong-dairy-golapjam-202-pcs-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122746&q=best&v=1&m=400&webp=1","350","Aarong Dairy Golapjam (20±2 pcs)","1 kg"
"https://chaldn.com/_mpimage/aarong-dairy-low-fat-yogurt-sour-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D70197&q=best&v=1&m=400&webp=1","110","Aarong Dairy Low Fat Yogurt (Sour)","500 gm"
"https://chaldn.com/_mpimage/aarong-dairy-sweetened-yogurt-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122759&q=best&v=1&m=400&webp=1","150","Aarong Dairy Sweetened Yogurt","500 gm"
"https://chaldn.com/_mpimage/farm-fresh-sour-yogurt-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D161203&q=best&v=1&m=400&webp=1","120","Farm Fresh Sour Yogurt","500 gm"
"https://chaldn.com/_mpimage/pran-sweetened-yogurt-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108654&q=best&v=1&m=400&webp=1","30","Pran Sweetened Yogurt","100 gm"
"https://chaldn.com/_mpimage/aarong-dairy-roshogolla-600-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122754&q=best&v=1&m=400&webp=1","200","Aarong Dairy Roshogolla","600 gm"
"https://chaldn.com/_mpimage/aarong-dairy-sour-curd-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D77433&q=best&v=1&m=400&webp=1","120","Aarong Dairy Sour Curd","500 gm"
"https://chaldn.com/_mpimage/aarong-dairy-roshogolla-202-pcs-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122755&q=best&v=1&m=400&webp=1","350","Aarong Dairy Roshogolla (20±2 pcs)","1 kg"
"https://chaldn.com/_mpimage/shokti-mishti-doi-75-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133646&q=best&v=1&m=400&webp=1","25","Shokti+ Mishti Doi","75 gm"
"https://chaldn.com/_mpimage/pran-sour-curd-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132328&q=best&v=1&m=400&webp=1","120","Pran Sour Curd","500 ml"
