"imageWrapperWrapper src","price","nameTextWithEllipsis","subText","productV2discountedPrice"
"https://chaldn.com/_mpimage/pomegranate-peeled-50-gm-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D166198&q=best&v=1&m=400&webp=1","419","Pomegranate Peeled (± 50 gm)","300 gm",""
"https://chaldn.com/_mpimage/daab-green-coconut-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D40755&q=best&v=1&m=400&webp=1","129","Daab (Green Coconut)","each",""
"https://chaldn.com/_mpimage/sofeda-sapodilla-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D134934&q=best&v=1&m=400&webp=1","189","Sofeda (Sapodilla)","1 kg","169"
"https://chaldn.com/_mpimage/anaros-pineapple-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D61358&q=low&v=1&m=400&webp=1","99","Anaros (Pineapple)","each","89"
"https://chaldn.com/_mpimage/dalim-pomegranate-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28589&q=best&v=1&m=400&webp=1","295","Dalim (Pomegranate)","2 pcs","269"
"https://chaldn.com/_mpimage/chalta-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D83956&q=best&v=1&m=400&webp=1","50","Chalta","each","45"
"https://chaldn.com/_mpimage/amloki-amla-12-gm-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123312&q=best&v=1&m=400&webp=1","75","Amloki (Amla) ± 12 gm","250 gm",""
"https://chaldn.com/_mpimage/watermelon-black-15-2-kg-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D75297&q=best&v=1&m=400&m=400&webp=1","229","Watermelon Black (1.5-2 kg)","each","219"
"https://chaldn.com/_mpimage/malta-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131779&q=best&v=1&m=400&webp=1","319","Malta ± 50 gm","1 kg",""
"https://chaldn.com/_mpimage/dragon-fruit-local-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D93407&q=best&v=1&m=400&webp=1","379","Dragon Fruit Local (± 50 gm)","1 kg",""
"https://chaldn.com/_mpimage/gala-apple-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D114751&q=best&v=1&m=400&webp=1","399","Gala Apple ± 50 gm","1 kg",""
"https://chaldn.com/_mpimage/paka-pape-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131627&q=best&v=1&m=400&webp=1","189","Paka Pape ± 50 gm","1 kg","169"
"https://chaldn.com/_mpimage/green-apple-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D119065&q=best&v=1&m=400&webp=1","435","Green Apple ± 50 gm","1 kg","419"
"https://chaldn.com/_mpimage/shada-nashpati-50-gm-pear-white-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D71168&q=best&v=1&m=400&webp=1","189","Shada Nashpati ± 50 gm (Pear White)","2 pcs",""
"https://chaldn.com/_mpimage/bangla-kola-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183438&q=low&v=1&m=400&webp=1","55","Bangla Kola","4 pcs","45"
"https://chaldn.com/_mpimage/komola-orange-imported-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D64292&q=best&v=1&m=400&webp=1","359","Komola (Orange) Imported ± 50 gm","1 kg",""
