"imageWrapperWrapper src","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/golden-harvest-red-wheat-rooti-1200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D148925&q=best&v=1&m=400&webp=1","235","Golden Harvest Red Wheat Rooti","1200 gm"
"https://chaldn.com/_mpimage/paragon-family-paratha-1300-gm-20-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115940&q=best&v=1&m=400&webp=1","320","Paragon Family Paratha 1300 gm","20 pcs"
"https://chaldn.com/_mpimage/jhatpot-deshi-paratha-family-pack-1300-gm-20-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D96024&q=best&v=1&m=400&webp=1","320","Jhatpot Deshi Paratha Family Pack 1300 gm","20 pcs"
"https://chaldn.com/_mpimage/kazi-farms-kitchen-plain-paratha-10-pcs-650-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124551&q=best&v=1&m=400&webp=1","170","Kazi Farms Kitchen Plain Paratha 10 pcs","650 gm"
"https://chaldn.com/_mpimage/jhatpot-paratha-low-fat-600-gm-10-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129587&q=best&v=1&m=400&webp=1","130","Jhatpot Paratha Low Fat 600 gm","10 pcs"
"https://chaldn.com/_mpimage/jhatpot-deshi-paratha-650-gm-10-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D112588&q=best&v=1&m=400&webp=1","170","Jhatpot Deshi Paratha 650 gm","10 pcs"
"https://chaldn.com/_mpimage/kazi-farms-kitchen-plain-paratha-family-1300-gm-20-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109153&q=best&v=1&m=400&webp=1","320","Kazi Farms Kitchen Plain Paratha Family 1300 gm","20 pcs"
"https://chaldn.com/_mpimage/golden-harvest-mega-deshi-paratha-1600-gm-20-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168990&q=best&v=1&m=400&webp=1","380","Golden Harvest Mega Deshi Paratha 1600 gm","20 pcs"
"https://chaldn.com/_mpimage/jhatpot-low-fat-paratha-1200-gm-20-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D112589&q=best&v=1&m=400&webp=1","250","Jhatpot Low Fat Paratha 1200 gm","20 pcs"
"https://chaldn.com/_mpimage/golden-harvest-premium-deshi-paratha-20-pcs-1300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177582&q=best&v=1&m=400&webp=1","320","Golden Harvest Premium Deshi Paratha 20 pcs","1300 gm"
"https://chaldn.com/_mpimage/quality-plain-paratha-600-gm-10-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113407&q=best&v=1&m=400&webp=1","155","Quality Plain Paratha 600 gm","10 pcs"
