"imageWrapperWrapper src","price","nameTextWithEllipsis","subText","productV2discountedPrice"
"https://chaldn.com/_mpimage/broiler-chicken-wings-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D73933&q=best&v=1&m=400&webp=1","359","Broiler Chicken Wings (± 50 gm)","1 kg",""
"https://chaldn.com/_mpimage/chicken-liver-kolija-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D167892&q=best&v=1&m=400&webp=1","199","Chicken Liver (Kolija) ± 25 gm","500 gm","139"
"https://chaldn.com/_mpimage/beijing-duck-meat-net-weight-100-gm-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D167264&q=best&v=1&m=400&m=400&webp=1","1659","Beijing Duck Meat (Net Weight ± 100 gm)","2 kg","1159"
"https://chaldn.com/_mpimage/broiler-chicken-breast-boneless-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D167900&q=best&v=1&m=400&webp=1","289","Broiler Chicken Breast Boneless ± 25 gm","500 gm",""
"https://chaldn.com/_mpimage/beijing-duck-meat-net-weight-50-gm-1500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127763&q=best&v=1&m=400&m=400&webp=1","1279","Beijing Duck Meat (Net Weight ± 50 gm)","1500 gm","1029"
"https://chaldn.com/_mpimage/chicken-liver-gizzard-mix-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95190&q=best&v=1&m=400&webp=1","319","Chicken Liver Gizzard Mix","1 kg","239"
"https://chaldn.com/_mpimage/broiler-whole-chicken-leg-skin-on-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74666&q=best&v=1&m=400&webp=1","429","Broiler Whole Chicken Leg Skin On (± 50 gm)","1 kg",""
"https://chaldn.com/_mpimage/bengal-meat-chicken-thigh-keema-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74662&q=best&v=1&m=400&webp=1","635","Bengal Meat Chicken Thigh Keema ± 50 gm","1 kg",""
"https://chaldn.com/_mpimage/broiler-chicken-breast-boneless-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74660&q=best&v=1&m=400&webp=1","579","Broiler Chicken Breast Boneless ± 50 gm","1 kg",""
"https://chaldn.com/_mpimage/chicken-keema-net-weight-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74669&q=best&v=1&m=400&m=400&webp=1","659","Chicken Keema (Net Weight ± 50 gm)","1 kg",""
"https://chaldn.com/_mpimage/chaldal-premium-broiler-chicken-thigh-boneless-50-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174666&q=best&v=1&m=400&webp=1","419","Chaldal Premium Broiler Chicken Thigh (Boneless) ± 50 gm","500 gm","279"
"https://chaldn.com/_mpimage/broiler-chicken-drumsticks-50-gm-9-12-pcs-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74667&q=best&v=1&m=400&webp=1","499","Broiler Chicken Drumsticks ± 50 gm (9-12 pcs)","1 kg",""
"https://chaldn.com/_mpimage/broiler-chicken-thigh-boneless-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74665&q=best&v=1&m=400&webp=1","489","Broiler Chicken Thigh Boneless ± 50 gm","1 kg",""
"https://chaldn.com/_mpimage/broiler-chicken-skin-on-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163138&q=best&v=1&m=400&webp=1","289","Broiler Chicken Skin On ± 50 gm","1 kg",""
"https://chaldn.com/_mpimage/broiler-chicken-breast-with-bone-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74650&q=best&v=1&m=400&webp=1","489","Broiler Chicken Breast With Bone (± 50 gm)","1 kg",""
"https://chaldn.com/_mpimage/chaldal-premium-chicken-keema-net-weight-50-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174695&q=best&v=1&m=400&webp=1","499","Chaldal Premium Chicken Keema (Net Weight ± 50 gm)","500 gm","329"
"https://chaldn.com/_mpimage/chaldal-premium-broiler-chicken-drumstick-50-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174680&q=best&v=1&m=400&webp=1","299","Chaldal Premium Broiler Chicken Drumstick ± 50 gm","500 gm",""
"https://chaldn.com/_mpimage/broiler-chicken-drumsticks-25-gm-6-8-pcs-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D167904&q=best&v=1&m=400&webp=1","259","Broiler Chicken Drumsticks ± 25 gm (6-8 pcs)","500 gm","249"
"https://chaldn.com/_mpimage/broiler-chicken-thigh-boneless-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D167902&q=best&v=1&m=400&m=400&webp=1","239","Broiler Chicken Thigh Boneless ± 25 gm","500 gm",""
"https://chaldn.com/_mpimage/broiler-chicken-skin-off-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163139&q=best&v=1&m=400&webp=1","319","Broiler Chicken Skin Off ± 50 gm","1 kg",""
"https://chaldn.com/_mpimage/chaldal-premium-broiler-chicken-wings-50-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174700&q=best&v=1&m=400&webp=1","219","Chaldal Premium Broiler Chicken Wings ± 50 gm","500 gm",""
"https://chaldn.com/_mpimage/bengal-meat-whole-chicken-curry-cut-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74653&q=best&v=1&m=400&webp=1","465","Bengal Meat Whole Chicken Curry Cut ± 50 gm","1 kg",""
"https://chaldn.com/_mpimage/broiler-chicken-skin-on-50-gm-14-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163161&q=best&v=1&m=400&webp=1","399","Broiler Chicken Skin On ± 50 gm","1.4 kg",""
"https://chaldn.com/_mpimage/chaldal-premium-broiler-chicken-breast-boneless-50-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174674&q=best&v=1&m=400&webp=1","419","Chaldal Premium Broiler Chicken Breast (Boneless) ± 50 gm","500 gm","339"
"https://chaldn.com/_mpimage/broiler-chicken-skin-off-50-gm-14-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163162&q=best&v=1&m=400&m=400&webp=1","449","Broiler Chicken Skin Off ± 50 gm","1.4 kg",""
"https://chaldn.com/_mpimage/live-cock-chicken-processed-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D165313&q=best&v=1&m=400&webp=1","269","Live Cock Chicken (Processed) ± 25 gm","500 gm",""
