"imageWrapperWrapper src","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/pran-naga-chilli-pickle-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136082&q=best&v=1&m=400&webp=1","320","Pran Naga Chilli Pickle","300 gm"
"https://chaldn.com/_mpimage/aafi-olive-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122738&q=best&v=1&m=400&webp=1","170","Aafi Olive Pickle","400 gm"
"https://chaldn.com/_mpimage/aafi-mango-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138697&q=best&v=1&m=400&webp=1","170","Aafi Mango Pickle","400 gm"
"https://chaldn.com/_mpimage/ahmed-garlic-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122985&q=best&v=1&m=400&webp=1","185","Ahmed Garlic Pickle","400 gm"
"https://chaldn.com/_mpimage/pran-boroi-sweet-pickle-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169249&q=best&v=1&m=400&webp=1","180","Pran Boroi Sweet Pickle","350 gm"
"https://chaldn.com/_mpimage/pran-jugol-chutney-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108326&q=best&v=1&m=400&m=400&webp=1","190","Pran Jugol Chutney","300 gm"
"https://chaldn.com/_mpimage/parboti-local-garlic-pickle-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115540&q=best&v=1&m=400&webp=1","150","Parboti Local Garlic Pickle","180 gm"
"https://chaldn.com/_mpimage/bd-food-boroi-chutney-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125547&q=best&v=1&m=400&webp=1","170","BD Food Boroi Chutney","500 gm"
"https://chaldn.com/_mpimage/kishwan-olive-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129809&q=best&v=1&m=400&webp=1","180","Kishwan Olive Pickle","400 gm"
"https://chaldn.com/_mpimage/ruchi-alubukhara-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133060&q=best&v=1&m=400&webp=1","320","Ruchi Alubukhara Pickle","400 gm"
"https://chaldn.com/_mpimage/pran-garlic-pickle-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135140&q=best&v=1&m=400&webp=1","240","Pran Garlic Pickle","300 gm"
"https://chaldn.com/_mpimage/ruchi-mango-pickle-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133074&q=best&v=1&m=400&webp=1","120","Ruchi Mango Pickle","200 gm"
"https://chaldn.com/_mpimage/ahmed-mango-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123000&q=best&v=1&m=400&webp=1","185","Ahmed Mango Pickle","400 gm"
"https://chaldn.com/_mpimage/acme-garlic-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122874&q=best&v=1&m=400&webp=1","220","ACME Garlic Pickle","400 gm"
"https://chaldn.com/_mpimage/pran-mixed-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135142&q=best&v=1&m=400&webp=1","200","Pran Mixed Pickle","400 gm"
"https://chaldn.com/_mpimage/acme-mango-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122875&q=best&v=1&m=400&m=400&webp=1","150","ACME Mango Pickle","400 gm"
"https://chaldn.com/_mpimage/kishwan-mango-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109945&q=best&v=1&m=400&webp=1","180","Kishwan Mango Pickle","400 gm"
"https://chaldn.com/_mpimage/ruchi-mixed-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48272&q=best&v=1&m=400&webp=1","200","Ruchi Mixed Pickle","400 gm"
"https://chaldn.com/_mpimage/pran-mango-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132317&q=best&v=1&m=400&webp=1","200","Pran Mango Pickle","400 gm"
"https://chaldn.com/_mpimage/ruchi-mixed-chutney-450-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133076&q=best&v=1&m=400&webp=1","160","Ruchi Mixed Chutney","450 gm"
"https://chaldn.com/_mpimage/acme-mixed-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122876&q=best&v=1&m=400&m=400&webp=1","150","ACME Mixed Pickle","400 gm"
"https://chaldn.com/_mpimage/kishwan-garlic-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D75168&q=best&v=1&m=400&webp=1","240","Kishwan Garlic Pickle","400 gm"
"https://chaldn.com/_mpimage/the-eastern-pickle-company-olive-achar-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125465&q=best&v=1&m=400&webp=1","390","The Eastern Pickle Company Olive Achar","400 gm"
"https://chaldn.com/_mpimage/natcha-sweet-tamarind-tetul-225-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95377&q=best&v=1&m=400&webp=1","399","Natcha Sweet Tamarind (Tetul)","225 gm"
"https://chaldn.com/_mpimage/acme-olive-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122877&q=best&v=1&m=400&m=400&webp=1","150","ACME Olive Pickle","400 gm"
"https://chaldn.com/_mpimage/pran-olive-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132320&q=best&v=1&m=400&webp=1","200","Pran Olive Pickle","400 gm"
"https://chaldn.com/_mpimage/chachis-chawk-sweet-sour-chutney-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168518&q=best&v=1&m=400&webp=1","165","Chachi's Chawk Sweet Sour Chutney","200 ml"
"https://chaldn.com/_mpimage/the-eastern-pickle-company-chaltar-achar-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125885&q=best&v=1&m=400&webp=1","390","The Eastern Pickle Company Chaltar Achar","400 gm"
"https://chaldn.com/_mpimage/american-garden-jalapeno-pepper-sliced-454-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123304&q=best&v=1&m=400&webp=1","475","American Garden Jalapeno Pepper Sliced","454 gm"
"https://chaldn.com/_mpimage/ruchi-chalta-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133065&q=best&v=1&m=400&webp=1","200","Ruchi Chalta Pickle","400 gm"
"https://chaldn.com/_mpimage/ruchi-olive-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D152918&q=best&v=1&m=400&webp=1","210","Ruchi Olive Pickle","400 gm"
"https://chaldn.com/_mpimage/ruchi-chutney-tetul-15-gm-12-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D172150&q=best&v=1&m=400&webp=1","60","Ruchi Chutney Tetul 15 gm","12 pcs"
"https://chaldn.com/_mpimage/ruchi-garlic-pickle-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133069&q=best&v=1&m=400&webp=1","165","Ruchi Garlic Pickle","200 gm"
"https://chaldn.com/_mpimage/ruchi-mango-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133075&q=best&v=1&m=400&webp=1","200","Ruchi Mango Pickle","400 gm"
"https://chaldn.com/_mpimage/chachis-chawk-garlic-chili-oil-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168520&q=best&v=1&m=400&webp=1","300","Chachi's Chawk Garlic Chili Oil","200 ml"
