"imageWrapperWrapper src","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/dan-cake-cappuccino-muffin-40-gm-gift-box-12-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127430&q=best&v=1&m=400&webp=1","360","Dan Cake Cappuccino Muffin (40 gm Gift Box)","12 pcs"
"https://chaldn.com/_mpimage/dan-cake-vanilla-plain-cake-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D90777&q=best&v=1&m=400&webp=1","80","Dan Cake Vanilla Plain Cake","150 gm"
"https://chaldn.com/_mpimage/dan-cake-dry-cake-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133280&q=best&v=1&m=400&webp=1","200","Dan Cake Dry Cake","300 gm"
"https://chaldn.com/_mpimage/dan-cake-marble-cake-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127432&q=best&v=1&m=400&webp=1","200","Dan Cake Marble cake","300 gm"
"https://chaldn.com/_mpimage/dan-cake-classic-brownies-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106663&q=best&v=1&m=400&webp=1","150","Dan Cake Classic Brownies","180 gm"
"https://chaldn.com/_mpimage/dan-cake-chocolate-pound-cake-220-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179707&q=best&v=1&m=400&webp=1","130","Dan Cake Chocolate Pound Cake","220 gm"
"https://chaldn.com/_mpimage/dan-cake-chocolate-layer-cake-12-pack-324-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101646&q=best&v=1&m=400&webp=1","300","Dan Cake Chocolate Layer Cake 12 pack","324 gm"
"https://chaldn.com/_mpimage/dan-cake-chocolate-muffin-12-packs-360-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D87475&q=best&v=1&m=400&webp=1","240","Dan Cake Chocolate Muffin 12 packs","360 gm"
"https://chaldn.com/_mpimage/dan-cake-vanilla-layer-cake-12-pack-324-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D121962&q=best&v=1&m=400&webp=1","300","Dan Cake Vanilla Layer Cake 12 pack","324 gm"
"https://chaldn.com/_mpimage/dan-cake-chocolate-plain-cake-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D90779&q=best&v=1&m=400&webp=1","80","Dan Cake Chocolate Plain Cake","150 gm"
"https://chaldn.com/_mpimage/dan-cake-marble-dry-cake-280-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169221&q=best&v=1&m=400&webp=1","200","Dan Cake Marble Dry Cake","280 gm"
"https://chaldn.com/_mpimage/dan-cake-fruit-cake-sliced-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D140883&q=best&v=1&m=400&webp=1","180","Dan Cake Fruit Cake Sliced","300 gm"
"https://chaldn.com/_mpimage/dan-cake-vanilla-muffin-12-pack-360-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127435&q=best&v=1&m=400&webp=1","240","Dan Cake Vanilla Muffin 12 pack","360 gm"
"https://chaldn.com/_mpimage/kishwan-dry-cake-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D88259&q=best&v=1&m=400&webp=1","150","Kishwan Dry Cake","300 gm"
"https://chaldn.com/_mpimage/danish-dry-cake-biscuit-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101729&q=best&v=1&m=400&webp=1","150","Danish Dry Cake Biscuit","300 gm"
"https://chaldn.com/_mpimage/ispahani-bakery-fresh-dry-cake-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176305&q=best&v=1&m=400&webp=1","150","Ispahani Bakery Fresh Dry Cake","300 gm"
"https://chaldn.com/_mpimage/dan-cake-vanilla-pound-cake-220-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180960&q=best&v=1&m=400&webp=1","150","Dan Cake Vanilla Pound Cake","220 gm"
"https://chaldn.com/_mpimage/ifad-dry-cake-biscuit-290-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169250&q=best&v=1&m=400&webp=1","200","Ifad Dry Cake Biscuit","290 gm"
"https://chaldn.com/_mpimage/wonder-muffin-cake-16-gm-6-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D154781&q=best&v=1&m=400&webp=1","60","Wonder Muffin Cake 16 gm","6 pcs"
"https://chaldn.com/_mpimage/olympic-dry-cake-biscuit-290-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183198&q=best&v=1&m=400&webp=1","150","Olympic Dry Cake Biscuit","290 gm"
