"imageWrapperWrapper src","price","nameTextWithEllipsis","subText","productV2discountedPrice"
"https://chaldn.com/_mpimage/bragg-organic-apple-cider-vinegar-946-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126229&q=best&v=1&m=400&webp=1","1600","Bragg Organic Apple Cider Vinegar","946 ml",""
"https://chaldn.com/_mpimage/remia-salad-dressing-garlic-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132687&q=best&v=1&m=400&m=400&webp=1","330","Remia Salad Dressing Garlic","250 ml",""
"https://chaldn.com/_mpimage/saporito-red-grape-vinegar-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133149&q=best&v=1&m=400&webp=1","569","Saporito Red Grape Vinegar","500 ml",""
"https://chaldn.com/_mpimage/american-garden-pizza-sauce-classic-397-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177295&q=best&v=1&m=400&webp=1","670","American Garden Pizza Sauce Classic","397 ml","599"
"https://chaldn.com/_mpimage/remia-italian-salad-dressing-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D148320&q=best&v=1&m=400&webp=1","450","Remia Italian Salad Dressing","250 ml","349"
"https://chaldn.com/_mpimage/saporito-balsamic-vinegar-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D104907&q=best&v=1&m=400&webp=1","519","Saporito Balsamic Vinegar","500 ml",""
"https://chaldn.com/_mpimage/american-garden-real-mayonnaise-473-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177296&q=best&v=1&m=400&webp=1","965","American Garden Real Mayonnaise","473 ml","799"
"https://chaldn.com/_mpimage/remia-salad-cream-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132686&q=best&v=1&m=400&m=400&webp=1","330","Remia Salad Cream","250 ml",""
"https://chaldn.com/_mpimage/pran-synthetic-vinegar-300-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D158548&q=best&v=1&m=400&webp=1","40","Pran Synthetic Vinegar","300 ml",""
"https://chaldn.com/_mpimage/carews-white-vinegar-750-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168396&q=best&v=1&m=400&m=400&webp=1","110","Carews White Vinegar","750 ml",""
"https://chaldn.com/_mpimage/pran-synthetic-vinegar-650-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D158547&q=best&v=1&m=400&webp=1","55","Pran Synthetic Vinegar","650 ml",""
"https://chaldn.com/_mpimage/ahmed-white-vinegar-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123201&q=best&v=1&m=400&webp=1","70","Ahmed White Vinegar","500 ml",""
