"imageWrapperWrapper src","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/sedaap-supreme-instant-korean-spicy-chicken-noodles-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183191&q=best&v=1&m=400&webp=1","80","Sedaap Supreme Instant Korean Spicy Chicken Noodles","each"
"https://chaldn.com/_mpimage/mr-noodles-korean-kimchi-ramen-8-pcs-480-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136538&q=best&v=1&m=400&webp=1","210","Mr. Noodles Korean Kimchi Ramen 8 pcs","480 gm"
"https://chaldn.com/_mpimage/sajeeb-cook-noodles-masala-8-pcs-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133109&q=best&v=1&m=400&webp=1","65","Sajeeb Cook Noodles Masala 8 pcs","300 gm"
"https://chaldn.com/_mpimage/mama-noodles-hot-spicy-flavour-8-pcs-496-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130547&q=best&v=1&m=400&webp=1","175","Mama Noodles (Hot & Spicy Flavour) 8 pcs","496 gm"
"https://chaldn.com/_mpimage/mrnoodles-instant-magic-masala-248-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D38726&q=low&v=1&m=400&webp=1","90","Mr.Noodles Instant Magic Masala","248 gm"
"https://chaldn.com/_mpimage/sedaap-supreme-instant-korean-spicy-chicken-noodles-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182980&q=best&v=1&m=400&webp=1","300","Sedaap Supreme Instant Korean Spicy Chicken Noodles","4 pcs"
"https://chaldn.com/_mpimage/samyang-hot-chicken-ramen-noodles-2x-spicy-140-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D47022&q=best&v=1&m=400&webp=1","300","Samyang Hot Chicken Ramen Noodles 2X Spicy","140 gm"
"https://chaldn.com/_mpimage/cocola-egg-chicken-masala-noodles-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127028&q=best&v=1&m=400&webp=1","25","Cocola Egg & Chicken Masala Noodles","150 gm"
"https://chaldn.com/_mpimage/cocola-egg-noodles-125-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127029&q=best&v=1&m=400&webp=1","20","Cocola Egg Noodles","125 gm"
"https://chaldn.com/_mpimage/nestle-maggi-2-minute-masala-instant-noodles-8-pack?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153591&q=best&v=1&m=400&webp=1","180","Nestle Maggi 2-Minute Masala Instant Noodles","8 pack"
"https://chaldn.com/_mpimage/nestle-maggi-2-minute-masala-instant-noodles-16-pack?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153592&q=best&v=1&m=400&webp=1","340","Nestle Maggi 2 Minute Masala Instant Noodles","16 pack"
"https://chaldn.com/_mpimage/mrnoodles-magic-masala-easy-instant-496-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D175133&q=best&v=1&m=400&webp=1","170","Mr.Noodles Magic Masala Easy Instant","496 gm"
"https://chaldn.com/_mpimage/mr-noodles-cup-noodles-magic-masala-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130935&q=best&v=1&m=400&webp=1","35","Mr. Noodles Cup Noodles Magic Masala","40 gm"
"https://chaldn.com/_mpimage/mr-noodles-korean-super-spicy-496-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130938&q=best&v=1&m=400&webp=1","210","Mr. Noodles Korean Super Spicy","496 gm"
"https://chaldn.com/_mpimage/nestle-maggi-2-minute-masala-instant-noodles-4-pack?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153594&q=best&v=1&m=400&webp=1","95","Nestle Maggi 2-Minute Masala Instant Noodles","4 pack"
"https://chaldn.com/_mpimage/cocola-chicken-masala-noodles-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127018&q=best&v=1&m=400&webp=1","25","Cocola Chicken Masala Noodles","150 gm"
"https://chaldn.com/_mpimage/nestle-maggi-2-minute-masala-instant-noodles-12-pack?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153593&q=best&v=1&m=400&webp=1","265","Nestle Maggi 2-Minute Masala Instant Noodles","12 pack"
"https://chaldn.com/_mpimage/maggi-hot-spicy-blast-noodles-8-pack?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180296&q=best&v=1&m=400&webp=1","200","MAGGI Hot & Spicy Blast Noodles","8 pack"
"https://chaldn.com/_mpimage/chopstick-instant-noodles-masala-delight-496-gm-8-pack?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D154825&q=best&v=1&m=400&webp=1","175","Chopstick Instant Noodles Masala Delight 496 gm","8 pack"
"https://chaldn.com/_mpimage/mama-noodles-hot-and-spicy-flavour-10-pcs-620-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D88573&q=best&v=1&m=400&webp=1","220","Mama Noodles (Hot And Spicy Flavour) 10 pcs","620 gm"
"https://chaldn.com/_mpimage/mama-noodles-chicken-flavour-8-pcs-496-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131895&q=best&v=1&m=400&webp=1","175","Mama Noodles (Chicken Flavour) 8 pcs","496 gm"
"https://chaldn.com/_mpimage/mr-noodles-korean-super-spicy-248-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130937&q=best&v=1&m=400&webp=1","110","Mr. Noodles Korean Super Spicy","248 gm"
"https://chaldn.com/_mpimage/dragon-brand-noodles-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127964&q=best&v=1&m=400&webp=1","50","Dragon Brand Noodles","300 gm"
"https://chaldn.com/_mpimage/mrnoodles-chicken-cup-noodles-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141656&q=best&v=1&m=400&webp=1","35","Mr.Noodles Chicken Cup Noodles","40 gm"
"https://chaldn.com/_mpimage/dekko-noodles-egg-masala-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177090&q=best&v=1&m=400&webp=1","40","Dekko Noodles Egg Masala","250 gm"
"https://chaldn.com/_mpimage/mama-noodles-shrimp-tomyum-flavour-8-pcs-496-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131893&q=best&v=1&m=400&webp=1","175","Mama Noodles (Shrimp Tomyum Flavour) 8 pcs","496 gm"
