"imageWrapperWrapper src","price","nameTextWithEllipsis","subText","deliveryTimeText"
"https://chaldn.com/_mpimage/sepnil-disinfectant-spray-300-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133484&q=best&v=1&m=400&webp=1","350","Sepnil Disinfectant Spray","300 ml","1 hr"
"https://chaldn.com/_mpimage/dettol-antiseptic-disinfectant-liquid-5-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184817&q=best&v=1&m=400&webp=1","1500","Dettol Antiseptic Disinfectant Liquid","5 ltr","1 hr"
"https://chaldn.com/_mpimage/vicks-vaporub-cold-relief-25-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D137003&q=best&v=1&m=400&m=400&webp=1","231","Vicks Vaporub Cold Relief","25 ml","1 hr"
"https://chaldn.com/_mpimage/dettol-antiseptic-disinfectant-liquid-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D155575&q=best&v=1&m=400&webp=1","60","Dettol Antiseptic Disinfectant Liquid","100 ml","1 hr"
"https://chaldn.com/_mpimage/aci-savlon-antiseptic-5-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D181735&q=best&v=1&m=400&webp=1","1200","ACI Savlon Antiseptic","5 ltr","1 hr"
"https://chaldn.com/_mpimage/hexisol-hand-rub-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103093&q=best&v=1&m=400&webp=1","140","Hexisol Hand Rub","250 ml","1 hr"
"https://chaldn.com/_mpimage/aci-savlon-antiseptic-cream-60-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122847&q=best&v=1&m=400&webp=1","45","ACI Savlon Antiseptic Cream","60 gm","1 hr"
"https://chaldn.com/_mpimage/sepnil-alcohol-swab-100-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D121727&q=best&v=1&m=400&webp=1","100","Sepnil Alcohol Swab","100 pcs","1 hr"
"https://chaldn.com/_mpimage/smc-orsaline-n-25-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D61695&q=best&v=1&m=400&webp=1","150","SMC Orsaline-N","25 pcs","1 hr"
"https://chaldn.com/_mpimage/aci-savlon-antiseptic-liquid-bottle-112-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D181720&q=best&v=1&m=400&webp=1","60","ACI Savlon Antiseptic Liquid Bottle","112 ml","1 hr"
"https://chaldn.com/_mpimage/alcohol-prep-pads-100-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123212&q=best&v=1&m=400&webp=1","155","Alcohol Prep Pads","100 pcs","1 hr"
"https://chaldn.com/_mpimage/hexisol-hand-rub-50-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129219&q=best&v=1&m=400&webp=1","55","Hexisol Hand Rub","50 ml","1 hr"
"https://chaldn.com/_mpimage/dettol-antiseptic-disinfectant-liquid-750-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D166473&q=best&v=1&m=400&webp=1","250","Dettol Antiseptic Disinfectant Liquid","750 ml","1 hr"
"https://chaldn.com/_mpimage/dettol-antiseptic-disinfectant-liquid-50-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D155576&q=best&v=1&m=400&webp=1","45","Dettol Antiseptic Disinfectant Liquid","50 ml","1 hr"
"https://chaldn.com/_mpimage/aci-savlon-liquid-antiseptic-1000-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D181725&q=best&v=1&m=400&webp=1","280","ACI Savlon Liquid Antiseptic","1000 ml","1 hr"
"https://chaldn.com/_mpimage/dettol-antiseptic-disinfectant-liquid-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D154668&q=best&v=1&m=400&webp=1","175","Dettol Antiseptic Disinfectant Liquid","500 ml","1 hr"
"https://chaldn.com/_mpimage/aci-savlon-antiseptic-liquid-56-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D181711&q=best&v=1&m=400&webp=1","45","ACI Savlon Antiseptic Liquid","56 ml","1 hr"
"https://chaldn.com/_mpimage/aci-savlon-liquid-antiseptic-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D181728&q=best&v=1&m=400&webp=1","175","ACI Savlon Liquid Antiseptic","500 ml","1 hr"
"https://chaldn.com/_mpimage/dr-althea-345-barrier-cream-50-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185933&q=best&v=1&m=400&webp=1","2479","Dr. Althea 345 Barrier Cream","50 ml","Next Day"
"https://chaldn.com/_mpimage/nitrovas-ointment-04-30gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178021&q=low&v=1&m=400&webp=1","130","Nitrovas Ointment   0.4%","30gm","Next Day"
