"imageWrapperWrapper src","price","nameTextWithEllipsis","subText","deliveryTimeText","productV2discountedPrice","currency 2"
"https://chaldn.com/_mpimage/amul-single-origin-dark-chocolate-colombia-125-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D72205&q=best&v=1&m=400&webp=1","490","Amul Single Origin Dark Chocolate Colombia","125 gm","1 hr","",""
"https://chaldn.com/_mpimage/vitalia-crunchy-muesli-blackberry-raspberry-320-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45566&q=best&v=1&m=400&m=400&webp=1","590","Vitalia Crunchy Muesli (Blackberry & Raspberry)","320 gm","1 hr","",""
"https://chaldn.com/_mpimage/hosen-green-peas-choice-whole-can-397-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129337&q=best&v=1&m=400&webp=1","200","Hosen Green Peas Choice Whole Can","397 gm","1 hr","",""
"https://chaldn.com/_mpimage/ceylon-organic-extra-virgin-coconut-oil-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126647&q=best&v=1&m=400&webp=1","1590","Ceylon Organic Extra Virgin Coconut Oil","500 ml","1 hr","",""
"https://chaldn.com/_mpimage/finlay-pure-green-tea-bags-50-pcs-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95563&q=best&v=1&m=400&webp=1","140","Finlay Pure Green Tea Bags 50 pcs","100 gm","1 hr","",""
"https://chaldn.com/_mpimage/arla-herbs-spices-cream-cheese-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125238&q=best&v=1&m=400&m=400&webp=1","420","Arla Herbs & Spices Cream Cheese","150 gm","1 hr","",""
"https://chaldn.com/_mpimage/bengal-meat-beef-keema-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74668&q=best&v=1&m=400&webp=1","1050","Bengal Meat Beef Keema ± 50 gm","1 kg","1 hr","",""
"https://chaldn.com/_mpimage/almarai-spreadable-cream-cheese-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D175776&q=best&v=1&m=400&webp=1","669","Almarai Spreadable Cream Cheese","200 gm","1 hr","",""
"https://chaldn.com/_mpimage/farmers-gold-amlaki-powder-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D98454&q=best&v=1&m=400&webp=1","120","Farmer's Gold Amlaki Powder","100 gm","Next Day","",""
"https://chaldn.com/_mpimage/nautilus-lite-tuna-steak-in-spring-water-165-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D94471&q=best&v=1&m=400&webp=1","329","Nautilus Lite Tuna Steak In Spring Water","165 gm","1 hr","299","৳"
