"imageWrapperWrapper src","currency","price","nameTextWithEllipsis","subText","deliveryTimeText"
"https://chaldn.com/_mpimage/pureit-classic-germ-kill-kit-3000-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177865&q=best&v=1&m=400&m=400&webp=1","৳","1400","Pureit Classic Germ Kill Kit","3000 ltr","1 hr"
"https://chaldn.com/_mpimage/big-stainless-steel-fork-6-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125770&q=best&v=1&m=400&webp=1","৳","279","Big Stainless Steel Fork","6 pcs","1 hr"
"https://chaldn.com/_mpimage/pureit-classic-germ-kill-kit-1500-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177904&q=best&v=1&m=400&webp=1","৳","800","Pureit Classic Germ Kill Kit","1500 ltr","1 hr"
"https://chaldn.com/_mpimage/manual-stainless-stell-hand-mixer-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130596&q=best&v=1&m=400&m=400&webp=1","৳","169","Manual Stainless Stell Hand Mixer","each","1 hr"
"https://chaldn.com/_mpimage/rfl-topper-silver-pressure-cooker-5-ltr-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113266&q=best&v=1&m=400&webp=1","৳","1900","RFL Topper Silver Pressure Cooker 5 ltr","each","1 hr"
"https://chaldn.com/_mpimage/stainless-steel-grater-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D53905&q=best&v=1&m=400&webp=1","৳","280","Stainless Steel Grater","each","1 hr"
"https://chaldn.com/_mpimage/pureit-classic-microfibre-mesh-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132426&q=best&v=1&m=400&webp=1","৳","200","Pureit Classic Microfibre Mesh","each","1 hr"
"https://chaldn.com/_mpimage/stainless-steel-pickle-spoon-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D36804&q=best&v=1&m=400&webp=1","৳","105","Stainless Steel Pickle Spoon","each","1 hr"
"https://chaldn.com/_mpimage/heat-insulation-pad-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101705&q=best&v=1&m=400&m=400&webp=1","৳","100","Heat Insulation Pad","each","1 hr"
"https://chaldn.com/_mpimage/activated-block-carbon-filter-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174191&q=best&v=1&m=400&webp=1","৳","270","Activated Block Carbon Filter","each","Next Day"
"https://chaldn.com/_mpimage/meat-tenderizer-25-x-8-inch-china-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130655&q=best&v=1&m=400&webp=1","৳","642","Meat Tenderizer (2.5 x 8 inch) China","each","Next Day"
"https://chaldn.com/_mpimage/stainless-steel-round-spoon-medium-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176970&q=best&v=1&m=400&webp=1","৳","165","Stainless Steel Round Spoon Medium","each","Next Day"
