"imageWrapperWrapper src","price","nameTextWithEllipsis","deliveryTimeText"
"https://chaldn.com/_mpimage/malik-seeds-dhundol-beej-aarti-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178775&q=best&v=1&m=400&webp=1","60","Malik Seeds Dhundol Beej (Aarti)","Next Day"
"https://chaldn.com/_mpimage/malik-seeds-shosha-beej-moynamoti-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178771&q=best&v=1&m=400&webp=1","60","Malik Seeds Shosha Beej (Moynamoti)","1 hr"
"https://chaldn.com/_mpimage/malik-seeds-borboti-beej-nice-green-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178780&q=best&v=1&m=400&webp=1","60","Malik Seeds Borboti Beej (Nice Green)","1 hr"
"https://chaldn.com/_mpimage/rfl-tel-modern-flower-tub-with-tray-rose-wood-6-inch-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132813&q=best&v=1&m=400&webp=1","50","RFL TEL Modern Flower Tub With Tray (Rose Wood) 6 inch","1 hr"
"https://chaldn.com/_mpimage/rfl-tel-square-flower-tub-sandal-wood-12-inch-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95059&q=best&v=1&m=400&webp=1","260","RFL TEL Square Flower Tub (Sandal Wood) 12 inch","1 hr"
"https://chaldn.com/_mpimage/malik-seeds-lau-beej-pallabi-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178777&q=best&v=1&m=400&webp=1","60","Malik Seeds Lau Beej (Pallabi)","1 hr"
"https://chaldn.com/_mpimage/rfl-grill-mounted-flower-tub-orange-6-inch-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95030&q=best&v=1&m=400&webp=1","62","RFL Grill Mounted Flower Tub (Orange) 6 inch","1 hr"
"https://chaldn.com/_mpimage/malik-seeds-mishti-kumra-beej-rongila-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178779&q=best&v=1&m=400&webp=1","60","Malik Seeds Mishti Kumra Beej (Rongila)","Next Day"
"https://chaldn.com/_mpimage/rfl-grill-mounted-flower-tub-lime-green-6-inch-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95029&q=best&v=1&m=400&m=400&webp=1","62","RFL Grill Mounted Flower Tub (Lime Green) 6 inch","1 hr"
"https://chaldn.com/_mpimage/rfl-tel-modern-flower-tub-with-tray-rose-wood-8-inch-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95042&q=best&v=1&m=400&m=400&webp=1","80","RFL TEL Modern Flower Tub With Tray (Rose Wood) 8 inch","1 hr"
"https://chaldn.com/_mpimage/malik-seeds-tok-tomato-beej-sour-round-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178764&q=best&v=1&m=400&webp=1","60","Malik Seeds Tok Tomato Beej (Sour Round)","Next Day"
"https://chaldn.com/_mpimage/malik-seeds-morich-beej-bijlee-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178765&q=low&v=1&m=400&webp=1","60","Malik Seeds Morich Beej (Bijlee)","1 hr"
"https://chaldn.com/_mpimage/rfl-tel-square-flower-tub-rose-wood-12-inch-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95057&q=best&v=1&m=400&webp=1","260","RFL TEL Square Flower Tub (Rose Wood) 12 inch","1 hr"
"https://chaldn.com/_mpimage/malik-seeds-chichinga-beej-asha-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178776&q=best&v=1&m=400&webp=1","60","Malik Seeds Chichinga Beej (Asha)","1 hr"
"https://chaldn.com/_mpimage/rfl-tel-hanging-flower-tub-small-red-6-inch-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95046&q=best&v=1&m=400&m=400&webp=1","60","RFL TEL Hanging Flower Tub Small (Red) 6 inch","1 hr"
"https://chaldn.com/_mpimage/malik-seeds-dherosh-beej-shomy-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178770&q=best&v=1&m=400&webp=1","60","Malik Seeds Dherosh beej (Shomy)","1 hr"
"https://chaldn.com/_mpimage/malik-seeds-begun-beej-pritam-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178769&q=best&v=1&m=400&webp=1","60","Malik Seeds Begun Beej (Pritam)","1 hr"
"https://chaldn.com/_mpimage/malik-seeds-jhinga-beej-raman-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178774&q=best&v=1&m=400&webp=1","60","Malik Seeds Jhinga Beej (Raman)","Next Day"
