"imageWrapperWrapper src","price","nameTextWithEllipsis","subText","deliveryTimeText"
"https://chaldn.com/_mpimage/rfl-winner-tiffin-box-rectangular-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132894&q=best&v=1&m=400&m=400&webp=1","150","RFL Winner Tiffin Box Rectangular","each","1 hr"
"https://chaldn.com/_mpimage/manual-stainless-stell-hand-mixer-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130596&q=best&v=1&m=400&m=400&webp=1","169","Manual Stainless Stell Hand Mixer","each","1 hr"
"https://chaldn.com/_mpimage/rfl-design-bowl-3-ltr-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132743&q=best&v=1&m=400&webp=1","80","RFL Design Bowl 3 ltr (Red)","each","1 hr"
"https://chaldn.com/_mpimage/rfl-topper-silver-pressure-cooker-5-ltr-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113266&q=best&v=1&m=400&webp=1","1900","RFL Topper Silver Pressure Cooker 5 ltr","each","1 hr"
"https://chaldn.com/_mpimage/rfl-glass-stand-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95576&q=best&v=1&m=400&webp=1","130","RFL Glass Stand Red","each","1 hr"
"https://chaldn.com/_mpimage/rfl-design-bowl-8-ltr-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132745&q=best&v=1&m=400&webp=1","150","RFL Design Bowl 8 ltr (Red)","each","1 hr"
"https://chaldn.com/_mpimage/rfl-plastic-kula-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95586&q=best&v=1&m=400&webp=1","140","RFL Plastic Kula Red","each","1 hr"
"https://chaldn.com/_mpimage/rfl-design-bowl-5-ltr-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95475&q=best&v=1&m=400&webp=1","110","RFL Design Bowl 5 ltr (Blue)","each","1 hr"
"https://chaldn.com/_mpimage/rfl-deluxe-bowl-sm-blue-8-ltr-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95730&q=best&v=1&m=400&webp=1","140","RFL Deluxe Bowl Sm Blue 8 ltr","each","1 hr"
"https://chaldn.com/_mpimage/rfl-cherry-container-trans-set-3-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132706&q=best&v=1&m=400&m=400&webp=1","310","RFL Cherry Container Trans Set","3 pcs","1 hr"
