"imageWrapperWrapper src","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/fresh-white-paper-napkin-non-perfumed-100-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132873&q=best&v=1&m=400&webp=1","75","Fresh White Paper Napkin Non-Perfumed","100 pcs"
"https://chaldn.com/_mpimage/fay-toilet-tissue-white-180-sheet-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128444&q=best&v=1&m=400&webp=1","30","Fay Toilet Tissue White 180 Sheet","each"
"https://chaldn.com/_mpimage/fay-multi-fold-hand-towel-1-ply-150-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128439&q=best&v=1&m=400&webp=1","160","Fay Multi-fold Hand Towel 1 Ply","150 pcs"
"https://chaldn.com/_mpimage/bashundhara-toilet-tissue-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D99251&q=best&v=1&m=400&webp=1","112","Bashundhara Toilet Tissue","4 pcs"
"https://chaldn.com/_mpimage/fresh-perfumed-facial-tissue-150-x-2-ply-box-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D49747&q=best&v=1&m=400&webp=1","100","Fresh Perfumed Facial Tissue (150 X 2) ply Box","each"
"https://chaldn.com/_mpimage/fay-paper-napkin-13-x-1-ply-80-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131687&q=best&v=1&m=400&m=400&webp=1","75","Fay Paper Napkin (13 X 1 ply)","80 pcs"
"https://chaldn.com/_mpimage/bashundhara-paper-napkins-13-unscented-100-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D164084&q=best&v=1&m=400&webp=1","75","Bashundhara Paper Napkins 13"" Unscented","100 pcs"
"https://chaldn.com/_mpimage/fresh-toilet-tissue-family-value-pack-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113296&q=best&v=1&m=400&webp=1","100","Fresh Toilet Tissue (Family Value Pack)","4 pcs"
"https://chaldn.com/_mpimage/fay-facial-tissue-non-perfume-150-x-2-ply-box-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95808&q=best&v=1&m=400&webp=1","105","Fay Facial Tissue Non-Perfume (150 X 2 ply) Box","each"
"https://chaldn.com/_mpimage/fresh-paper-napkins-13-perfumed-100x1-ply-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113125&q=best&v=1&m=400&webp=1","75","Fresh Paper Napkins 13"" Perfumed (100X1 Ply)","each"
"https://chaldn.com/_mpimage/bashundhara-gold-toilet-tissue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D64375&q=low&v=1&m=400&webp=1","38","Bashundhara Gold Toilet Tissue","each"
"https://chaldn.com/_mpimage/partex-cleen-hand-towel-200x2-ply-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124948&q=best&v=1&m=400&webp=1","85","Partex Cleen Hand Towel (200X2 Ply)","each"
"https://chaldn.com/_mpimage/fresh-hand-towel-250x1-ply-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113119&q=best&v=1&m=400&webp=1","100","Fresh Hand Towel (250X1 Ply)","each"
