imageWrapperWrapper src,price,nameTextWithEllipsis,subText,productV2discountedPrice
https://chaldn.com/_mpimage/dettol-bathing-soap-bar-skincare-27-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184816&q=best&v=1&m=400&webp=1,15,Dettol Bathing Soap Bar Skincare,27 gm,
https://chaldn.com/_mpimage/dettol-soap-bathing-bar-family-pack-cool-skincare-original-75-gm-3-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184846&q=best&v=1&m=400&webp=1,195,"Dettol Soap Bathing Bar Family Pack (Cool, Skincare & Original) 75 gm",3 pcs,
https://chaldn.com/_mpimage/aci-savlon-fresh-antiseptic-soap-125-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D140552&q=best&v=1&m=400&webp=1,80,ACI Savlon Fresh Antiseptic Soap,125 gm,
https://chaldn.com/_mpimage/dettol-soap-bathing-bar-original-germ-defence-75-gm-free-tiffin-box-3-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183820&q=best&v=1&m=400&webp=1,195,Dettol Soap Bathing Bar Original Germ Defence 75 gm (Free Tiffin Box),3 pcs,
https://chaldn.com/_mpimage/dettol-bathing-soap-bar-original-27-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174457&q=best&v=1&m=400&webp=1,15,Dettol Bathing Soap Bar Original,27 gm,
https://chaldn.com/_mpimage/dettol-soap-bathing-bar-original-germ-defence-125-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179245&q=best&v=1&m=400&webp=1,95,Dettol Soap Bathing Bar Original Germ Defence,125 gm,
https://chaldn.com/_mpimage/dettol-soap-original-germ-defence-bathing-bar-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D181515&q=best&v=1&m=400&webp=1,40,Dettol Soap Original Germ Defence Bathing Bar,50 gm,
https://chaldn.com/_mpimage/dettol-skincare-bodywash-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D149404&q=best&v=1&m=400&webp=1,225,Dettol Skincare Bodywash,250 ml,
https://chaldn.com/_mpimage/dettol-soap-bathing-bar-cool-125-gm-combo-pack-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179253&q=best&v=1&m=400&webp=1,380,Dettol Soap Bathing Bar Cool 125 gm (Combo Pack),4 pcs,
https://chaldn.com/_mpimage/aci-septex-deep-clean-antiseptic-bar-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D58651&q=best&v=1&m=400&webp=1,55,ACI Septex Deep Clean Antiseptic Bar,100 gm,
