"imageWrapperWrapper src","price","nameTextWithEllipsis","subText","productV2discountedPrice"
"https://chaldn.com/_mpimage/foster-clarks-gelatin-dessert-banana-strawberry-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153737&q=best&v=1&m=400&webp=1","130","Foster Clark's Gelatin Dessert Banana & Strawberry","80 gm",""
"https://chaldn.com/_mpimage/foster-clarks-gelatin-jelly-dessert-lemon-flavour-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153741&q=best&v=1&m=400&m=400&webp=1","160","Foster Clark's Gelatin Jelly Dessert Lemon Flavour","80 gm",""
"https://chaldn.com/_mpimage/foster-clarks-whipped-topping-mix-vanilla-72-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D112889&q=best&v=1&m=400&m=400&webp=1","295","Foster Clark's Whipped Topping Mix Vanilla","72 gm",""
"https://chaldn.com/_mpimage/foster-clarks-custard-powder-tin-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128575&q=best&v=1&m=400&webp=1","395","Foster Clark's Custard Powder Tin","300 gm",""
"https://chaldn.com/_mpimage/foster-clarks-jelly-dessert-strawberry-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D152737&q=best&v=1&m=400&webp=1","160","Foster Clark's Jelly Dessert Strawberry","80 gm",""
"https://chaldn.com/_mpimage/foster-clarks-custard-powder-pack-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130373&q=best&v=1&m=400&webp=1","395","Foster Clark's Custard Powder Pack","200 gm",""
"https://chaldn.com/_mpimage/ahmed-custard-powder-160-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122983&q=best&v=1&m=400&webp=1","90","Ahmed Custard Powder","160 gm",""
"https://chaldn.com/_mpimage/foster-clarks-baking-powder-225-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128570&q=best&v=1&m=400&webp=1","360","Foster Clark's Baking Powder","225 gm",""
"https://chaldn.com/_mpimage/radhuni-custard-powder-140-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132523&q=best&v=1&m=400&webp=1","90","Radhuni Custard Powder","140 gm",""
"https://chaldn.com/_mpimage/desifarm-khejurer-patali-gur-giftbox-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185413&q=best&v=1&m=400&webp=1","700","Desifarm Khejurer Patali Gur Giftbox","1 kg","599"
"https://chaldn.com/_mpimage/desifarm-khejurer-nolen-gur-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185412&q=best&v=1&m=400&webp=1","650","Desifarm Khejurer Nolen Gur","1 kg","619"
"https://chaldn.com/_mpimage/desifarm-khejurer-danadar-jhola-gur-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185411&q=best&v=1&m=400&webp=1","650","Desifarm Khejurer Danadar Jhola Gur","1 kg","619"
"https://chaldn.com/_mpimage/desifarm-tea-cube-jaggery-850-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185414&q=best&v=1&m=400&webp=1","750","Desifarm Tea Cube Jaggery","850 gm",""
"https://chaldn.com/_mpimage/root-khejur-gur-liquid-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186107&q=best&v=1&m=400&webp=1","700","Root Khejur Gur (Liquid)","1 ltr","669"
"https://chaldn.com/_mpimage/root-akher-gur-liquid-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186111&q=best&v=1&m=400&webp=1","320","Root Akher Gur (Liquid)","500 gm","309"
"https://chaldn.com/_mpimage/root-premium-akher-gur-powder-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186110&q=best&v=1&m=400&webp=1","320","Root Premium Akher Gur (Powder)","400 gm","309"
"https://chaldn.com/_mpimage/root-rootilla-khejur-gur-cream-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186109&q=best&v=1&m=400&webp=1","420","Root Rootilla Khejur Gur (Cream)","250 gm","399"
"https://chaldn.com/_mpimage/root-khejur-gur-cubes-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186108&q=best&v=1&m=400&webp=1","480","Root Khejur Gur (Cubes)","400 gm","459"
"https://chaldn.com/_mpimage/desifarm-premium-date-jaggery-20-gm-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185938&q=best&v=1&m=400&webp=1","229","Desifarm Premium Date Jaggery (±20 gm)","400 gm",""
