"imageWrapperWrapper src","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/farmers-gold-mixed-nut-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D152969&q=best&v=1&m=400&webp=1","380","Farmer's Gold Mixed Nut","250 gm"
"https://chaldn.com/_mpimage/blossoms-dried-mixed-plum-220-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D148500&q=best&v=1&m=400&m=400&webp=1","300","Blossoms Dried Mixed Plum","220 gm"
"https://chaldn.com/_mpimage/farmers-gold-dried-fruits-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D98440&q=best&v=1&m=400&webp=1","350","Farmer's Gold Dried Fruits","200 gm"
"https://chaldn.com/_mpimage/crunchos-assorted-mix-nuts-tin-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127237&q=best&v=1&m=400&webp=1","1619","Crunchos Assorted Mix Nuts Tin","350 gm"
"https://chaldn.com/_mpimage/royal-gardens-garlic-roasted-cashews-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138795&q=best&v=1&m=400&webp=1","695","Royal Gardens Garlic Roasted Cashews","150 gm"
"https://chaldn.com/_mpimage/tong-garden-salted-cashew-nuts-can-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136418&q=best&v=1&m=400&webp=1","995","Tong Garden Salted Cashew Nuts Can","150 gm"
"https://chaldn.com/_mpimage/fit-food-roasted-cashews-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109871&q=best&v=1&m=400&webp=1","280","Fit Food Roasted Cashews","100 gm"
"https://chaldn.com/_mpimage/blue-diamond-almonds-bold-habanero-bbq-170-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125844&q=best&v=1&m=400&m=400&webp=1","850","Blue Diamond Almonds Bold Habanero BBQ","170 gm"
"https://chaldn.com/_mpimage/royal-gardens-salted-cashews-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D148294&q=best&v=1&m=400&webp=1","695","Royal Gardens Salted Cashews","150 gm"
"https://chaldn.com/_mpimage/blue-diamond-almonds-honey-roasted-170-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125854&q=best&v=1&m=400&m=400&webp=1","850","Blue Diamond Almonds Honey Roasted","170 gm"
"https://chaldn.com/_mpimage/royal-gardens-salted-cashews-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138791&q=best&v=1&m=400&webp=1","435","Royal Gardens Salted Cashews","100 gm"
"https://chaldn.com/_mpimage/imperial-eats-cashew-nuts-220-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D167803&q=best&v=1&m=400&webp=1","770","Imperial Eats Cashew Nuts","220 gm"
"https://chaldn.com/_mpimage/tong-garden-salted-almonds-140-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136415&q=best&v=1&m=400&m=400&webp=1","995","Tong Garden Salted Almonds","140 gm"
"https://chaldn.com/_mpimage/royal-gardens-salted-pistachios-130-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138794&q=best&v=1&m=400&webp=1","549","Royal Gardens Salted Pistachios","130 gm"
"https://chaldn.com/_mpimage/tong-garden-seaweed-wasabi-cashew-nuts-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136481&q=best&v=1&m=400&webp=1","995","Tong Garden Seaweed & Wasabi Cashew Nuts","150 gm"
"https://chaldn.com/_mpimage/farmers-gold-almonds-kath-badam-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D98429&q=best&v=1&m=400&webp=1","480","Farmer's Gold Almonds (Kath Badam)","200 gm"
"https://chaldn.com/_mpimage/tong-garden-japanese-rice-cracker-mixed-coated-peanut-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D73990&q=best&v=1&m=400&webp=1","675","Tong Garden Japanese Rice Cracker Mixed Coated Peanut","150 gm"
"https://chaldn.com/_mpimage/tong-garden-salted-pistachio-pesta-badam-130-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136480&q=best&v=1&m=400&webp=1","995","Tong Garden Salted Pistachio (Pesta Badam)","130 gm"
