imageWrapperWrapper src,price,nameTextWithEllipsis,subText
https://chaldn.com/_mpimage/nestea-iced-tea-lemon-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131247&q=best&v=1&m=400&m=400&webp=1,460,Nestea Iced Tea Lemon,500 gm
https://chaldn.com/_mpimage/twinings-earl-grey-green-25-tea-bags-1-pack?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D119267&q=best&v=1&m=400&webp=1,975,Twinings Earl Grey Green 25 Tea bags,each
https://chaldn.com/_mpimage/dilmah-green-tea-with-camomile-30-gm-20-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180150&q=best&v=1&m=400&webp=1,630,Dilmah Green Tea with Camomile 30 gm,20 pcs
https://chaldn.com/_mpimage/dr-hh-fine-triphala-tea-bags-40-pcs-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174209&q=best&v=1&m=400&webp=1,190,Dr. H&H Fine Triphala Tea bags 40 pcs,80 gm
https://chaldn.com/_mpimage/dilmah-premium-ceylon-tea-bag-50-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106777&q=best&v=1&m=400&webp=1,780,Dilmah Premium Ceylon Tea Bag,50 pcs
https://chaldn.com/_mpimage/dilmah-ceylon-green-tea-with-cardamom-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177292&q=best&v=1&m=400&webp=1,715,Dilmah Ceylon Green Tea With Cardamom,40 gm
https://chaldn.com/_mpimage/dr-hh-black-tea-with-honey-tea-bag-30-pcs-60-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D96241&q=best&v=1&m=400&webp=1,175,Dr. H&H Black Tea With Honey Tea Bag 30 pcs,60 gm
https://chaldn.com/_mpimage/dr-hh-pure-amloki-tea-bag-40-pcs-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174211&q=best&v=1&m=400&m=400&webp=1,190,Dr. H&H Pure Amloki Tea Bag 40 pcs,80 gm
https://chaldn.com/_mpimage/revival-karak-masala-tea-bundle-pack-200-gm-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D100926&q=best&v=1&m=400&m=400&webp=1,440,Revival Karak Masala Tea (Bundle Pack) 200 gm,2 pcs
https://chaldn.com/_mpimage/dr-hh-natural-tulsi-tea-bags-40-pcs-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174210&q=best&v=1&m=400&m=400&webp=1,190,Dr. H&H Natural Tulsi Tea Bags 40 pcs,80 gm
https://chaldn.com/_mpimage/finlay-pure-green-tea-bags-50-pcs-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95563&q=best&v=1&m=400&webp=1,140,Finlay Pure Green Tea Bags 50 pcs,100 gm
https://chaldn.com/_mpimage/finlay-shinrai-japanese-green-tea-bags-25-pcs-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D75109&q=best&v=1&m=400&m=400&webp=1,160,Finlay Shinrai Japanese Green Tea Bags 25 pcs,50 gm
https://chaldn.com/_mpimage/revival-black-tea-loose-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D100510&q=best&v=1&m=400&webp=1,120,Revival Black Tea Loose,200 gm
https://chaldn.com/_mpimage/kazi-kazi-organic-orthodox-black-tea-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108230&q=best&v=1&m=400&webp=1,190,Kazi & Kazi Organic Orthodox Black Tea,100 gm
https://chaldn.com/_mpimage/dr-hh-pure-arjun-tea-bags-40-pcs-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127961&q=best&v=1&m=400&webp=1,190,Dr. H&H Pure Arjun Tea bags 40 pcs,80 gm
https://chaldn.com/_mpimage/dilmah-ginger-honey-black-tea-30-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106758&q=best&v=1&m=400&webp=1,405,Dilmah Ginger & Honey Black Tea,30 gm
https://chaldn.com/_mpimage/revival-ginger-honey-tea-30-sachets-45-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D100509&q=best&v=1&m=400&m=400&webp=1,150,Revival Ginger & Honey Tea (30 Sachets),45 gm
https://chaldn.com/_mpimage/kazikazi-organic-tea-turmeric-infusion-40-pcs-60-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108235&q=best&v=1&m=400&webp=1,295,Kazi & Kazi Organic Tea Turmeric Infusion 40 pcs,60 gm
https://chaldn.com/_mpimage/lipton-green-tea-pure-and-light-50-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D93650&q=best&v=1&m=400&m=400&webp=1,280,Lipton Green Tea Pure And Light,50 pcs
https://chaldn.com/_mpimage/ispahani-blenders-choice-premium-tea-50-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D152334&q=best&v=1&m=400&webp=1,145,Ispahani Blender's Choice Premium Tea,50 pcs
https://chaldn.com/_mpimage/finlay-shinrai-japanese-green-tea-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D75108&q=best&v=1&m=400&webp=1,170,Finlay Shinrai Japanese Green Tea,150 gm
https://chaldn.com/_mpimage/fresh-premium-green-tea-375-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113126&q=best&v=1&m=400&webp=1,120,Fresh Premium Green Tea,37.5 gm
