"imageWrapperWrapper src","currency","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/nestea-iced-tea-lemon-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131247&q=best&v=1&m=400&m=400&webp=1","৳","460","Nestea Iced Tea Lemon","500 gm"
"https://chaldn.com/_mpimage/twinings-earl-grey-green-25-tea-bags-1-pack?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D119267&q=best&v=1&m=400&webp=1","৳","975","Twinings Earl Grey Green 25 Tea bags","each"
"https://chaldn.com/_mpimage/dilmah-green-tea-with-camomile-30-gm-20-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180150&q=best&v=1&m=400&webp=1","৳","630","Dilmah Green Tea with Camomile 30 gm","20 pcs"
"https://chaldn.com/_mpimage/nestle-nescafe-3-in-1-iced-frappe-cold-coffee-mix-30-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138604&q=best&v=1&m=400&webp=1","৳","50","Nestle Nescafe 3 in 1 Iced Frappe Cold Coffee Mix","30 gm"
"https://chaldn.com/_mpimage/dr-hh-fine-triphala-tea-bags-40-pcs-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174209&q=best&v=1&m=400&webp=1","৳","190","Dr. H&H Fine Triphala Tea bags 40 pcs","80 gm"
"https://chaldn.com/_mpimage/dilmah-premium-ceylon-tea-bag-50-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106777&q=best&v=1&m=400&webp=1","৳","780","Dilmah Premium Ceylon Tea Bag","50 pcs"
"https://chaldn.com/_mpimage/dilmah-ceylon-green-tea-with-cardamom-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177292&q=best&v=1&m=400&webp=1","৳","715","Dilmah Ceylon Green Tea With Cardamom","40 gm"
"https://chaldn.com/_mpimage/dr-hh-black-tea-with-honey-tea-bag-30-pcs-60-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D96241&q=best&v=1&m=400&webp=1","৳","175","Dr. H&H Black Tea With Honey Tea Bag 30 pcs","60 gm"
"https://chaldn.com/_mpimage/maccoffee-gold-jar-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130478&q=best&v=1&m=400&webp=1","৳","850","MacCoffee Gold Jar","100 gm"
"https://chaldn.com/_mpimage/tora-bika-cappuccino-25-gm-6-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D137190&q=best&v=1&m=400&webp=1","৳","300","Tora Bika Cappuccino 25 gm","6 pcs"
"https://chaldn.com/_mpimage/davidoff-fine-aroma-coffee-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177013&q=best&v=1&m=400&webp=1","৳","1150","Davidoff Fine Aroma Coffee","100 gm"
"https://chaldn.com/_mpimage/maccoffee-instant-coffee-pouch-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130479&q=best&v=1&m=400&webp=1","৳","850","MacCoffee Instant Coffee Pouch","200 gm"
"https://chaldn.com/_mpimage/dr-hh-pure-amloki-tea-bag-40-pcs-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174211&q=best&v=1&m=400&m=400&webp=1","৳","190","Dr. H&H Pure Amloki Tea Bag 40 pcs","80 gm"
"https://chaldn.com/_mpimage/tetley-green-tea-bag-lemon-honey-25-pcs-35-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D161045&q=best&v=1&m=400&webp=1","৳","170","Tetley Green Tea Bag Lemon & Honey 25 pcs","35 gm"
"https://chaldn.com/_mpimage/moccona-select-instant-coffee-190-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130796&q=best&v=1&m=400&m=400&webp=1","৳","1175","Moccona Select Instant Coffee","190 gm"
"https://chaldn.com/_mpimage/revival-karak-masala-tea-bundle-pack-200-gm-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D100926&q=best&v=1&m=400&m=400&webp=1","৳","440","Revival Karak Masala Tea (Bundle Pack) 200 gm","2 pcs"
"https://chaldn.com/_mpimage/dr-hh-natural-tulsi-tea-bags-40-pcs-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174210&q=best&v=1&m=400&m=400&webp=1","৳","190","Dr. H&H Natural Tulsi Tea Bags 40 pcs","80 gm"
"https://chaldn.com/_mpimage/kopiko-white-mocca-mocha-coffee-20-gm-6-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113372&q=best&v=1&m=400&webp=1","৳","240","Kopiko White Mocca Mocha Coffee 20 gm","6 pcs"
"https://chaldn.com/_mpimage/nestle-coffee-mate-creamer-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45914&q=low&v=1&m=400&webp=1","৳","850","Nestle Coffee Mate Creamer","1 kg"
"https://chaldn.com/_mpimage/finlay-pure-green-tea-bags-50-pcs-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95563&q=best&v=1&m=400&webp=1","৳","140","Finlay Pure Green Tea Bags 50 pcs","100 gm"
"https://chaldn.com/_mpimage/finlay-shinrai-japanese-green-tea-bags-25-pcs-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D75109&q=best&v=1&m=400&m=400&webp=1","৳","160","Finlay Shinrai Japanese Green Tea Bags 25 pcs","50 gm"
"https://chaldn.com/_mpimage/revival-black-tea-loose-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D100510&q=best&v=1&m=400&webp=1","৳","120","Revival Black Tea Loose","200 gm"
