"imageWrapperWrapper src","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/hersheys-caramel-syrup-623-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103085&q=best&v=1&m=400&webp=1","999","Hershey's Caramel Syrup","623 gm"
"https://chaldn.com/_mpimage/sundrop-peanut-butter-with-honey-creamy-462-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141908&q=best&v=1&m=400&m=400&webp=1","620","Sundrop Peanut Butter With Honey Creamy","462 gm"
"https://chaldn.com/_mpimage/alfa-mayonnaise-473-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123215&q=best&v=1&m=400&webp=1","335","Alfa Mayonnaise","473 ml"
"https://chaldn.com/_mpimage/sundrop-peanut-butter-regular-crunchy-462-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D148121&q=best&v=1&m=400&webp=1","620","Sundrop Peanut Butter Regular Crunchy","462 gm"
"https://chaldn.com/_mpimage/crown-peanut-butter-smooth-creamy-510-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101142&q=best&v=1&m=400&m=400&webp=1","850","Crown Peanut Butter Smooth & Creamy","510 gm"
"https://chaldn.com/_mpimage/cadbury-cream-spread-caramel-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126361&q=best&v=1&m=400&webp=1","880","Cadbury Cream Spread Caramel","400 gm"
"https://chaldn.com/_mpimage/almarai-spreadable-cream-cheese-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D175776&q=best&v=1&m=400&webp=1","669","Almarai Spreadable Cream Cheese","200 gm"
"https://chaldn.com/_mpimage/sundrop-chocolatey-cocoa-nut-almond-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D57887&q=best&v=1&m=400&webp=1","695","Sundrop Chocolatey Cocoa Nut Almond","350 gm"
"https://chaldn.com/_mpimage/sundrop-peanut-butter-regular-creamy-462-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D148119&q=best&v=1&m=400&m=400&webp=1","620","Sundrop Peanut Butter Regular Creamy","462 gm"
"https://chaldn.com/_mpimage/nucella-chocolate-bread-spread-cocoa-almond-230-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176633&q=best&v=1&m=400&webp=1","380","Nucella+ Chocolate Bread Spread Cocoa & Almond","230 gm"
