"imageWrapperWrapper src","productV2discountedPrice","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/nazirshail-rice-standard-half-boiled-200-gm-25-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D94816&q=best&v=1&m=400&webp=1","1939","2099","Nazirshail Rice Standard (Half Boiled) ± 200 gm","25 kg"
"https://chaldn.com/_mpimage/miniket-rice-standard-boiled-200-gm-25-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D94814&q=best&v=1&m=400&webp=1","1889","1920","Miniket Rice Standard (Boiled) ± 200 gm","25 kg"
"https://chaldn.com/_mpimage/aci-nutrilife-low-gi-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177339&q=best&v=1&m=400&m=400&webp=1","","120","ACI Nutrilife Low GI Rice","1 kg"
"https://chaldn.com/_mpimage/fortune-biryani-special-basmati-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182969&q=best&v=1&m=400&webp=1","","480","Fortune Biryani Special Basmati Rice","1 kg"
"https://chaldn.com/_mpimage/bpm-kaun-rice-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48067&q=best&v=1&m=400&m=400&webp=1","","110","BPM Kaun Rice","500 gm"
"https://chaldn.com/_mpimage/miniket-rice-standard-boiled-50-gm-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48082&q=best&v=1&m=400&webp=1","389","395","Miniket Rice Standard (Boiled) ± 50 gm","5 kg"
"https://chaldn.com/_mpimage/nazirshail-rice-standard-half-boiled-50-gm-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D66168&q=best&v=1&m=400&webp=1","399","459","Nazirshail Rice Standard (Half Boiled) ± 50 gm","5 kg"
"https://chaldn.com/_mpimage/banglamoti-rice-boiled-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D72051&q=best&v=1&m=400&webp=1","99","119","Banglamoti Rice (Boiled)","1 kg"
"https://chaldn.com/_mpimage/acme-chinigura-aromatic-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D160671&q=best&v=1&m=400&webp=1","","170","Acme Chinigura Aromatic Rice","1 kg"
"https://chaldn.com/_mpimage/nazirshail-rice-premium-half-boiled-200-gm-25-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D94815&q=best&v=1&m=400&webp=1","2199","2299","Nazirshail Rice Premium (Half Boiled) ± 200 gm","25 kg"
