"imageWrapperWrapper src","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/hersheys-caramel-syrup-623-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103085&q=best&v=1&m=400&webp=1","999","Hershey's Caramel Syrup","623 gm"
"https://chaldn.com/_mpimage/hosen-gherkins-original-flavour-jar-680-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D104889&q=best&v=1&m=400&m=400&webp=1","529","Hosen Gherkins Original Flavour Jar","680 gm"
"https://chaldn.com/_mpimage/bragg-organic-apple-cider-vinegar-946-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126229&q=best&v=1&m=400&webp=1","1600","Bragg Organic Apple Cider Vinegar","946 ml"
"https://chaldn.com/_mpimage/rose-water-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48222&q=best&v=1&m=400&m=400&webp=1","25","Rose Water","200 ml"
"https://chaldn.com/_mpimage/hersheys-chocolate-syrup-623-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103086&q=best&v=1&m=400&webp=1","1029","Hershey's Chocolate Syrup","623 gm"
"https://chaldn.com/_mpimage/hersheys-strawberry-syrup-623-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174494&q=best&v=1&m=400&m=400&webp=1","939","Hershey's Strawberry Syrup","623 gm"
"https://chaldn.com/_mpimage/foster-clarks-culinary-essence-strawberry-28-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D110788&q=best&v=1&m=400&webp=1","140","Foster Clark's Culinary Essence Strawberry","28 ml"
"https://chaldn.com/_mpimage/tiara-food-color-red-28-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101311&q=best&v=1&m=400&m=400&webp=1","90","Tiara Food Color (Red)","28 ml"
"https://chaldn.com/_mpimage/foster-clarks-culinary-essence-rose-28-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D110786&q=best&v=1&m=400&webp=1","140","Foster Clark's Culinary Essence Rose","28 ml"
"https://chaldn.com/_mpimage/maggi-seasoning-sauce-680-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48211&q=best&v=1&m=400&webp=1","690","Maggi Seasoning Sauce","680 ml"
"https://chaldn.com/_mpimage/foster-clarks-food-colour-red-28-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D112888&q=best&v=1&m=400&webp=1","140","Foster Clark's Food Colour (Red)","28 ml"
"https://chaldn.com/_mpimage/foster-clarks-food-color-orange-28-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D155709&q=best&v=1&m=400&webp=1","140","Foster Clark's Food Color Orange","28 ml"
"https://chaldn.com/_mpimage/frenchs-classic-yellow-mustard-255-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128597&q=best&v=1&m=400&webp=1","460","French's Classic Yellow Mustard","255 gm"
