"imageWrapperWrapper src","price","nameTextWithEllipsis","subText","productV2discountedPrice"
"https://chaldn.com/_mpimage/fit-food-chia-seed-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109861&q=best&v=1&m=400&webp=1","320","Fit Food Chia Seed","200 gm",""
"https://chaldn.com/_mpimage/fit-food-flax-seed-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128532&q=best&v=1&m=400&webp=1","160","Fit Food Flax Seed","100 gm",""
"https://chaldn.com/_mpimage/chia-seed-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D78545&q=best&v=1&m=400&webp=1","89","Chia Seed","100 gm","65"
"https://chaldn.com/_mpimage/brown-flax-seed-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48352&q=best&v=1&m=400&webp=1","55","Brown Flax Seed","100 gm","45"
"https://chaldn.com/_mpimage/josti-modhu-licorice-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48373&q=best&v=1&m=400&webp=1","99","Josti Modhu (Licorice)","100 gm","65"
"https://chaldn.com/_mpimage/walnuts-akhrot-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184610&q=best&v=1&m=400&webp=1","199","Walnuts (Akhrot)","100 gm","179"
"https://chaldn.com/_mpimage/imperial-eats-healthy-gut-mix-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D167800&q=best&v=1&m=400&webp=1","550","Imperial Eats Healthy Gut Mix","250 gm",""
"https://chaldn.com/_mpimage/farmers-gold-onion-peyaj-powder-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D98447&q=best&v=1&m=400&webp=1","120","Farmer's Gold Onion (Peyaj) Powder","100 gm",""
"https://chaldn.com/_mpimage/black-sesame-seed-til-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184016&q=best&v=1&m=400&webp=1","55","Black Sesame Seed (Til)","100 gm","45"
"https://chaldn.com/_mpimage/farmers-gold-kabab-spice-powder-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128395&q=best&v=1&m=400&webp=1","170","Farmer's Gold Kabab Spice Powder","100 gm",""
"https://chaldn.com/_mpimage/ajwain-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48342&q=best&v=1&m=400&webp=1","55","Ajwain","100 gm","45"
"https://chaldn.com/_mpimage/farmers-gold-mix-spice-powder-pach-foron-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D139044&q=best&v=1&m=400&webp=1","90","Farmer's Gold Mix Spice Powder (Pach Foron)","100 gm",""
"https://chaldn.com/_mpimage/imperial-eats-red-chilli-powder-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D167804&q=best&v=1&m=400&webp=1","170","Imperial Eats Red Chilli Powder","200 gm",""
"https://chaldn.com/_mpimage/farmers-gold-white-pepper-gol-morich-powder-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D98368&q=best&v=1&m=400&webp=1","300","Farmer's Gold White Pepper (Gol Morich) Powder","100 gm",""
"https://chaldn.com/_mpimage/khaas-food-black-seed-powder-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109002&q=best&v=1&m=400&m=400&webp=1","80","Khaas Food Black Seed Powder","100 gm",""
"https://chaldn.com/_mpimage/fenugreek-methi-seed-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48366&q=best&v=1&m=400&webp=1","35","Fenugreek (Methi) Seed","100 gm","25"
"https://chaldn.com/_mpimage/paprika-bottle-15-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177913&q=best&v=1&m=400&m=400&webp=1","75","Paprika Bottle","15 gm",""
"https://chaldn.com/_mpimage/shan-biryani-masala-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168600&q=best&v=1&m=400&webp=1","110","Shan Biryani Masala","50 gm",""
"https://chaldn.com/_mpimage/tokma-seed-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48426&q=best&v=1&m=400&webp=1","45","Tokma Seed","100 gm","35"
"https://chaldn.com/_mpimage/chui-jhal-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D78479&q=best&v=1&m=400&m=400&webp=1","259","Chui Jhal","250 gm",""
"https://chaldn.com/_mpimage/pran-meat-masala-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108353&q=best&v=1&m=400&webp=1","95","Pran Meat Masala","100 gm",""
"https://chaldn.com/_mpimage/radhuni-chilli-flakes-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132513&q=best&v=1&m=400&webp=1","70","Radhuni Chilli Flakes","40 gm",""
"https://chaldn.com/_mpimage/rongdhonu-arjun-powder-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D149207&q=best&v=1&m=400&m=400&webp=1","95","Rongdhonu Arjun Powder","100 gm",""
"https://chaldn.com/_mpimage/arrowroot-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D175875&q=best&v=1&m=400&webp=1","25","Arrowroot","100 gm",""
"https://chaldn.com/_mpimage/star-flower-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185008&q=best&v=1&m=400&webp=1","159","Star Flower","50 gm","129"
"https://chaldn.com/_mpimage/fennel-mouri-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48365&q=best&v=1&m=400&webp=1","55","Fennel (Mouri)","100 gm","39"
