"imageWrapperWrapper src","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/marks-milk-based-diabetic-diet-tin-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D112642&q=best&v=1&m=400&m=400&webp=1","1400","Marks Milk Based Diabetic Diet Tin","400 gm"
"https://chaldn.com/_mpimage/marks-gold-high-calcium-non-fat-milk-powder-40-y-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D146818&q=best&v=1&m=400&webp=1","425","Marks Gold High Calcium Non Fat Milk Powder 40 Y+","400 gm"
"https://chaldn.com/_mpimage/marks-diet-non-fat-milk-powder-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D160943&q=best&v=1&m=400&webp=1","425","Marks Diet Non Fat Milk Powder","400 gm"
"https://chaldn.com/_mpimage/cowhead-instant-milk-powder-18-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D58937&q=best&v=1&m=400&m=400&webp=1","3700","Cowhead Instant Milk Powder","1.8 kg"
"https://chaldn.com/_mpimage/marks-milk-powder-tin-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130616&q=best&v=1&m=400&webp=1","1300","Marks Milk Powder Tin","1 kg"
"https://chaldn.com/_mpimage/marks-active-school-2-in-1-chocolate-milk-powder-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131866&q=best&v=1&m=400&webp=1","425","Marks Active School 2 in 1 Chocolate Milk Powder","400 gm"
"https://chaldn.com/_mpimage/danish-full-cream-milk-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101742&q=best&v=1&m=400&webp=1","945","Danish Full Cream Milk Powder","1 kg"
"https://chaldn.com/_mpimage/nestle-nido-fortigrow-full-cream-milk-powder-tin-25-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131373&q=best&v=1&m=400&webp=1","3400","Nestle Nido Fortigrow Full Cream Milk Powder Tin","2.5 kg"
"https://chaldn.com/_mpimage/shape-up-non-fat-high-protein-milk-powder-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D175835&q=best&v=1&m=400&webp=1","490","Shape Up Non Fat High Protein Milk Powder","400 gm"
"https://chaldn.com/_mpimage/nestle-nido-school-age-5-years-powder-milk-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177797&q=best&v=1&m=400&webp=1","480","Nestle Nido School Age (5+ Years) Powder Milk","350 gm"
"https://chaldn.com/_mpimage/nestle-nido-fortigrow-full-cream-milk-powder-700-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131368&q=best&v=1&m=400&webp=1","810","Nestle Nido Fortigrow Full Cream Milk Powder","700 gm"
"https://chaldn.com/_mpimage/dano-power-full-cream-milk-powder-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169325&q=best&v=1&m=400&webp=1","400","Dano Power Full Cream Milk Powder","400 gm"
"https://chaldn.com/_mpimage/goalini-daily-milk-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127250&q=best&v=1&m=400&webp=1","700","Goalini Daily Milk Powder","1 kg"
"https://chaldn.com/_mpimage/nestle-nido-fortigrow-full-cream-milk-powder-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131367&q=best&v=1&m=400&webp=1","430","Nestle Nido Fortigrow Full Cream Milk Powder","350 gm"
"https://chaldn.com/_mpimage/goalini-full-cream-milk-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D114899&q=best&v=1&m=400&webp=1","910","Goalini Full Cream Milk Powder","1 kg"
"https://chaldn.com/_mpimage/fresh-instant-full-cream-milk-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126002&q=best&v=1&m=400&webp=1","480","Fresh Instant Full Cream Milk Powder","500 gm"
"https://chaldn.com/_mpimage/dano-delight-full-cream-milk-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D161830&q=best&v=1&m=400&webp=1","950","Dano Delight Full Cream Milk Powder","1 kg"
"https://chaldn.com/_mpimage/nestle-nido-family-choice-milk-powder-pouch-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D166792&q=best&v=1&m=400&webp=1","480","Nestle Nido Family Choice Milk Powder Pouch","500 gm"
"https://chaldn.com/_mpimage/nestle-nido-fortigrow-full-cream-milk-powder-tin-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131372&q=best&v=1&m=400&webp=1","1400","Nestle Nido Fortigrow Full Cream Milk Powder Tin","1 kg"
"https://chaldn.com/_mpimage/fresh-instant-full-cream-milk-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130892&q=best&v=1&m=400&webp=1","950","Fresh Instant Full Cream Milk Powder","1 kg"
"https://chaldn.com/_mpimage/ama-full-cream-milk-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97595&q=best&v=1&m=400&webp=1","440","AMA Full Cream Milk Powder","500 gm"
"https://chaldn.com/_mpimage/marks-young-star-16-40-years-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130618&q=best&v=1&m=400&webp=1","425","Marks Young Star (16-40 years)","400 gm"
"https://chaldn.com/_mpimage/dano-power-full-cream-milk-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169326&q=best&v=1&m=400&webp=1","950","Dano Power Full Cream Milk Powder","1 kg"
"https://chaldn.com/_mpimage/marks-active-school-milk-powder-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131867&q=best&v=1&m=400&webp=1","425","Marks Active School Milk Powder","400 gm"
