"imageWrapperWrapper src","productV2discountedPrice","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/lemon-grass-stalk-12-gm-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D140775&q=best&v=1&m=400&webp=1","65","139","Lemon Grass Stalk ± 12 gm","250 gm"
"https://chaldn.com/_mpimage/watteh-greens-radish-microgreen-25-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183806&q=best&v=1&m=400&webp=1","","149","Watteh Greens Radish Microgreen","25 gm"
"https://chaldn.com/_mpimage/watteh-greens-mustard-microgreen-25-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183807&q=best&v=1&m=400&webp=1","","149","Watteh Greens Mustard Microgreen","25 gm"
"https://chaldn.com/_mpimage/watteh-greens-red-amaranth-microgreen-25-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183805&q=best&v=1&m=400&webp=1","","399","Watteh Greens Red Amaranth Microgreen","25 gm"
"https://chaldn.com/_mpimage/beetroot-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D35682&q=low&v=1&m=400&webp=1","45","55","Beetroot ±25 gm","500 gm"
"https://chaldn.com/_mpimage/mehendi-pata-henna-leaves-3-bundles?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D7669&q=best&v=1&m=400&webp=1","","59","Mehendi Pata (Henna Leaves)","3 bundles"
"https://chaldn.com/_mpimage/aloe-vera-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D35684&q=best&v=1&m=400&m=400&webp=1","","35","Aloe Vera","each"
"https://chaldn.com/_mpimage/red-capsicum-12-gm-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D54850&q=best&v=1&m=400&webp=1","129","159","Red Capsicum ±12 gm","300 gm"
"https://chaldn.com/_mpimage/thai-ada-ginger-thai-12-gm-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163319&q=best&v=1&m=400&webp=1","89","99","Thai Ada (Ginger Thai) ± 12 gm","250 gm"
"https://chaldn.com/_mpimage/badhakopi-pata-chinese-cabbage-leaves-150-gm-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D7070&q=best&v=1&m=400&webp=1","39","49","Badhakopi Pata (Chinese Cabbage Leaves) 150 gm+","each"
"https://chaldn.com/_mpimage/misti-alu-sweet-potato-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D54835&q=best&v=1&m=400&webp=1","45","50","Misti Alu (Sweet Potato) ± 25 gm","500 gm"
"https://chaldn.com/_mpimage/yellow-capsicum-15-gm-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D16552&q=best&v=1&m=400&m=400&webp=1","129","159","Yellow Capsicum ±15 gm","300 gm"
"https://chaldn.com/_mpimage/lettuce-leaves-10-gm-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28797&q=low&v=1&m=400&webp=1","29","45","Lettuce Leaves ± 10 gm","100 gm"
"https://chaldn.com/_mpimage/kacha-holud-raw-turmeric-12-gm-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D7662&q=low&v=1&m=400&webp=1","45","55","Kacha Holud (Raw Turmeric) ± 12 gm","250 gm"
"https://chaldn.com/_mpimage/thankuni-pata-pennywort-leaves-1-bundle?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28578&q=low&v=1&m=400&webp=1","","9","Thankuni Pata (Pennywort Leaves)","1 bundle"
"https://chaldn.com/_mpimage/peyaj-pata-spring-onion-12-gm-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D18770&q=low&v=1&m=400&webp=1","25","65","Peyaj Pata (Spring Onion) ± 12 gm","250 gm"
