"imageWrapperWrapper src","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/aftab-chicken-meat-ball-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D91005&q=best&v=1&m=400&m=400&webp=1","230","Aftab Chicken Meat Ball","300 gm"
"https://chaldn.com/_mpimage/country-natural-chicken-samosa-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D170036&q=best&v=1&m=400&m=400&webp=1","250","Country Natural Chicken Samosa","300 gm"
"https://chaldn.com/_mpimage/country-natural-chicken-spicy-lollipop-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168166&q=best&v=1&m=400&m=400&webp=1","350","Country Natural Chicken Spicy Lollipop","400 gm"
"https://chaldn.com/_mpimage/doux-chicken-franks-original-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122023&q=best&v=1&m=400&m=400&webp=1","275","Doux Chicken Franks Original","340 gm"
"https://chaldn.com/_mpimage/ag-food-plain-chicken-sausage-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122959&q=best&v=1&m=400&webp=1","270","AG Food Plain Chicken Sausage","340 gm"
"https://chaldn.com/_mpimage/quality-chicken-meatball-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113392&q=best&v=1&m=400&webp=1","210","Quality Chicken Meatball","250 gm"
"https://chaldn.com/_mpimage/ag-food-chicken-meat-ball-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D151232&q=best&v=1&m=400&webp=1","200","AG Food Chicken Meat Ball","250 gm"
"https://chaldn.com/_mpimage/ag-food-spicy-chicken-sausage-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131068&q=best&v=1&m=400&webp=1","275","AG Food Spicy Chicken Sausage","340 gm"
"https://chaldn.com/_mpimage/golden-harvest-chicken-burger-patty-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168991&q=best&v=1&m=400&m=400&webp=1","190","Golden Harvest Chicken Burger Patty","200 gm"
"https://chaldn.com/_mpimage/golden-harvest-chicken-shami-kabab-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D166302&q=best&v=1&m=400&webp=1","250","Golden Harvest Chicken Shami Kabab","200 gm"
