"imageWrapperWrapper src","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/bests-tomato-puree-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D154143&q=best&v=1&m=400&webp=1","174","Best's Tomato Puree","400 gm"
"https://chaldn.com/_mpimage/shezan-tomato-ketchup-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D140416&q=best&v=1&m=400&webp=1","115","Shezan Tomato Ketchup","340 gm"
"https://chaldn.com/_mpimage/shezan-hot-tomato-sauce-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133634&q=best&v=1&m=400&webp=1","115","Shezan Hot Tomato Sauce","340 gm"
"https://chaldn.com/_mpimage/ahmed-tomato-ketchup-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123196&q=best&v=1&m=400&webp=1","125","Ahmed Tomato Ketchup","340 gm"
"https://chaldn.com/_mpimage/sajeeb-tomato-ketchup-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133114&q=best&v=1&m=400&m=400&webp=1","100","Sajeeb Tomato Ketchup","340 gm"
"https://chaldn.com/_mpimage/ahmed-tomato-sauce-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185473&q=best&v=1&m=400&webp=1","125","Ahmed Tomato Sauce","340 gm"
"https://chaldn.com/_mpimage/bests-tomato-ketchup-330-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125748&q=best&v=1&m=400&webp=1","182","Best's Tomato Ketchup","330 ml"
"https://chaldn.com/_mpimage/aci-pure-tomato-ketchup-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D158156&q=best&v=1&m=400&webp=1","110","ACI Pure Tomato Ketchup","340 gm"
"https://chaldn.com/_mpimage/chef-le-tomato-paste-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D159290&q=best&v=1&m=400&webp=1","136","Chef Le Tomato Paste","400 gm"
"https://chaldn.com/_mpimage/fargo-tomato-sauce-45-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D158961&q=best&v=1&m=400&webp=1","750","Fargo Tomato Sauce","4.5 kg"
"https://chaldn.com/_mpimage/ruchi-tomato-ketchup-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133080&q=best&v=1&m=400&webp=1","125","Ruchi Tomato Ketchup","350 gm"
"https://chaldn.com/_mpimage/kishwan-hot-tomato-sauce-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180307&q=best&v=1&m=400&m=400&webp=1","130","Kishwan Hot Tomato Sauce","350 gm"
"https://chaldn.com/_mpimage/shezan-tomato-ketchup-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141419&q=best&v=1&m=400&webp=1","300","Shezan Tomato Ketchup","1 kg"
"https://chaldn.com/_mpimage/sajeeb-hot-tomato-sauce-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133110&q=best&v=1&m=400&webp=1","115","Sajeeb Hot Tomato Sauce","340 gm"
"https://chaldn.com/_mpimage/pran-hot-tomato-sauce-mini-8-gm-10-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D154707&q=best&v=1&m=400&webp=1","30","Pran Hot Tomato Sauce Mini 8 gm","10 pcs"
"https://chaldn.com/_mpimage/pran-tomato-sauce-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135234&q=best&v=1&m=400&webp=1","125","Pran Tomato Sauce","340 gm"
"https://chaldn.com/_mpimage/ruchi-hot-tomato-sauce-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133071&q=best&v=1&m=400&webp=1","125","Ruchi Hot Tomato Sauce","350 gm"
"https://chaldn.com/_mpimage/pran-tomato-sauce-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141997&q=best&v=1&m=400&webp=1","320","Pran Tomato Sauce","1 kg"
"https://chaldn.com/_mpimage/pran-tomato-ketchup-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136083&q=best&v=1&m=400&webp=1","125","Pran Tomato Ketchup","340 gm"
"https://chaldn.com/_mpimage/saad-hot-tomato-sauce-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D165922&q=best&v=1&m=400&m=400&webp=1","120","Saad Hot Tomato Sauce","340 gm"
"https://chaldn.com/_mpimage/ruchi-hot-tomato-sauce-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176908&q=best&v=1&m=400&webp=1","80","Ruchi Hot Tomato Sauce","200 gm"
