"imageWrapperWrapper src","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/dekko-black-brown-cookies-buy-2-get-1-free-88-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D88284&q=best&v=1&m=400&m=400&webp=1","160","Dekko Black & Brown Cookies (Buy 2 Get 1 Free)","88 gm"
"https://chaldn.com/_mpimage/dekko-honey-kalo-zeera-biscuit-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126065&q=best&v=1&m=400&webp=1","50","Dekko Honey & Kalo Zeera Biscuit","150 gm"
"https://chaldn.com/_mpimage/munchys-oat-krunch-strawberry-blackcurrant-cookies-208-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141625&q=best&v=1&m=400&webp=1","480","Munchy's Oat Krunch Strawberry & Blackcurrant Cookies","208 gm"
"https://chaldn.com/_mpimage/munchys-oat-krunch-nutty-chocolate-cookies-208-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141621&q=best&v=1&m=400&m=400&webp=1","550","Munchy's Oat Krunch Nutty Chocolate Cookies","208 gm"
"https://chaldn.com/_mpimage/dekko-chocomalt-chocolate-cookies-biscuit-235-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126066&q=best&v=1&m=400&webp=1","70","Dekko Chocomalt Chocolate Cookies Biscuit","235 gm"
"https://chaldn.com/_mpimage/munchys-lexus-vegetable-cracker-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D154999&q=best&v=1&m=400&m=400&webp=1","470","Munchy's Lexus Vegetable Cracker","200 gm"
"https://chaldn.com/_mpimage/bisk-club-sugar-free-cracker-biscuit-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125836&q=best&v=1&m=400&webp=1","75","Bisk Club Sugar Free Cracker Biscuit","180 gm"
"https://chaldn.com/_mpimage/fit-masala-biscuit-60-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D161800&q=best&v=1&m=400&webp=1","20","Fit Masala Biscuit","60 gm"
"https://chaldn.com/_mpimage/ifad-cheesy-bites-premium-cheese-crackers-12-pack-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169402&q=best&v=1&m=400&webp=1","100","Ifad Cheesy Bites Premium Cheese Crackers 12 pack","180 gm"
"https://chaldn.com/_mpimage/ifad-nankhatai-bakry-biscuit-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128629&q=best&v=1&m=400&webp=1","100","Ifad Nankhatai Bakry Biscuit","200 gm"
