"imageWrapperWrapper src","productV2discountedPrice","currency 2","price","nameTextWithEllipsis","deliveryTimeText"
"https://chaldn.com/_mpimage/steel-wire-22x6-wall-6-hook-hanger-china-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D149151&q=best&v=1&m=400&m=400&webp=1","299","৳","431","Steel Wire (22""x6"") Wall 6 Hook Hanger (China)","1 hr"
"https://chaldn.com/_mpimage/npoly-round-cloth-hanger-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135752&q=best&v=1&m=400&webp=1","","","200","Npoly Round Cloth Hanger (Red)","1 hr"
"https://chaldn.com/_mpimage/rfl-wall-hanger-10-hooks-sm-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95575&q=best&v=1&m=400&webp=1","","","120","RFL Wall Hanger 10 Hooks (SM Blue)","1 hr"
"https://chaldn.com/_mpimage/rfl-english-dish-rack-mini-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95741&q=best&v=1&m=400&webp=1","","","400","RFL English Dish Rack Mini Red","1 hr"
"https://chaldn.com/_mpimage/rfl-round-hanger-24-clips-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95530&q=best&v=1&m=400&m=400&webp=1","","","300","RFL Round Hanger 24 Clips (Red)","1 hr"
"https://chaldn.com/_mpimage/rfl-roman-wall-rack-light-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95595&q=best&v=1&m=400&webp=1","279","৳","330","RFL Roman Wall Rack (Light Blue)","1 hr"
"https://chaldn.com/_mpimage/rfl-smart-kitchen-rack-mini-two-color-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132806&q=best&v=1&m=400&webp=1","","","480","RFL Smart Kitchen Rack Mini Two Color","1 hr"
"https://chaldn.com/_mpimage/rfl-shoe-rack-4-step-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95454&q=best&v=1&m=400&webp=1","","","550","RFL Shoe Rack 4 Step (Red)","1 hr"
"https://chaldn.com/_mpimage/rfl-smart-dish-rack-with-tray-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95456&q=best&v=1&m=400&webp=1","","","190","RFL Smart Dish Rack With Tray (Red)","Next Day"
"https://chaldn.com/_mpimage/rfl-round-mini-rack-red-and-white-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95569&q=best&v=1&m=400&webp=1","149","৳","200","RFL Round Mini Rack (Red and White)","Next Day"
"https://chaldn.com/_mpimage/rfl-heavy-rehal-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95688&q=best&v=1&m=400&webp=1","179","৳","200","RFL Heavy Rehal Red","Next Day"
"https://chaldn.com/_mpimage/rfl-standard-mini-rack-red-white-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95532&q=best&v=1&m=400&webp=1","","","220","RFL Standard Mini Rack (Red & White)","1 hr"
