"imageWrapperWrapper src","price","nameTextWithEllipsis"
"https://chaldn.com/_mpimage/rfl-click-4-socket-multiplug-2-pin-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113101&q=best&v=1&m=400&webp=1","850","RFL Click 4 Socket Multiplug (2 Pin)"
"https://chaldn.com/_mpimage/transtec-ceiling-rose-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D58631&q=best&v=1&m=400&webp=1","45","Transtec Ceiling Rose"
"https://chaldn.com/_mpimage/many-4-socket-power-converter-multi-plug-3-pin-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D44531&q=best&v=1&m=400&webp=1","799","Many 4 Socket Power Converter Multi Plug (3 Pin)"
"https://chaldn.com/_mpimage/transtec-3-pin-travel-adapter-13-amp-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D58630&q=best&v=1&m=400&m=400&webp=1","130","Transtec 3 Pin Travel Adapter (13 AMP)"
"https://chaldn.com/_mpimage/transtec-3-pin-plug-16-amp-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D58628&q=best&v=1&m=400&webp=1","90","Transtec 3 Pin Plug (16 AMP)"
"https://chaldn.com/_mpimage/transtec-3-pin-plug-13-amp-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D61706&q=best&v=1&m=400&webp=1","80","Transtec 3 Pin Plug (13 AMP)"
"https://chaldn.com/_mpimage/transtec-e27-batten-screw-holder-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D58626&q=best&v=1&m=400&m=400&webp=1","40","Transtec E27 Batten (Screw) Holder"
"https://chaldn.com/_mpimage/energypac-4-point-extension-socket-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D98978&q=best&v=1&m=400&m=400&webp=1","895","Energypac 4 Point Extension Socket"
"https://chaldn.com/_mpimage/many-3-socket-power-converter-multi-plug-3-pin-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D44530&q=best&v=1&m=400&m=400&webp=1","489","Many 3 Socket Power Converter Multi Plug (3 Pin)"
"https://chaldn.com/_mpimage/rfl-click-3-socket-multiplug-2-pin-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113100&q=best&v=1&m=400&webp=1","660","RFL Click 3 Socket Multiplug (2 Pin)"
