"imageWrapperWrapper src","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/rfl-design-bowl-3-ltr-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132743&q=best&v=1&m=400&webp=1","80","RFL Design Bowl 3 ltr (Red)","each"
"https://chaldn.com/_mpimage/rfl-design-bowl-8-ltr-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132745&q=best&v=1&m=400&webp=1","150","RFL Design Bowl 8 ltr (Red)","each"
"https://chaldn.com/_mpimage/rfl-design-bowl-5-ltr-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95475&q=best&v=1&m=400&webp=1","110","RFL Design Bowl 5 ltr (Blue)","each"
"https://chaldn.com/_mpimage/rfl-deluxe-bowl-sm-blue-8-ltr-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95730&q=best&v=1&m=400&webp=1","140","RFL Deluxe Bowl Sm Blue 8 ltr","each"
"https://chaldn.com/_mpimage/rfl-design-bucket-25-ltr-sm-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132749&q=best&v=1&m=400&webp=1","350","RFL Design Bucket 25 ltr (SM Blue)","each"
"https://chaldn.com/_mpimage/rfl-design-bucket-20-ltr-sm-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132750&q=best&v=1&m=400&m=400&webp=1","300","RFL Design Bucket 20 ltr (SM Blue)","each"
"https://chaldn.com/_mpimage/rfl-family-basket-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132758&q=best&v=1&m=400&webp=1","520","RFL Family Basket","each"
"https://chaldn.com/_mpimage/npoly-design-bucket-with-lead-red-25-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131458&q=best&v=1&m=400&webp=1","445","Npoly Design Bucket With Lead (Red)","25 ltr"
"https://chaldn.com/_mpimage/rfl-design-bucket-5-ltr-sm-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132752&q=best&v=1&m=400&webp=1","120","RFL Design Bucket 5 ltr (SM Blue)","each"
"https://chaldn.com/_mpimage/rfl-deluxe-bowl-red-8-ltr-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153301&q=best&v=1&m=400&webp=1","140","RFL Deluxe Bowl Red 8 ltr","each"
"https://chaldn.com/_mpimage/rfl-cane-laundry-brown-basket-big-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D19083&q=best&v=1&m=400&webp=1","980","RFL Cane Laundry Brown Basket Big","each"
"https://chaldn.com/_mpimage/rfl-design-bowl-3-ltr-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132742&q=best&v=1&m=400&webp=1","80","RFL Design Bowl 3 ltr (Blue)","each"
"https://chaldn.com/_mpimage/rfl-design-bowl-5-ltr-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132744&q=best&v=1&m=400&webp=1","110","RFL Design Bowl 5 ltr (Red)","each"
"https://chaldn.com/_mpimage/rfl-round-laundry-basket-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113241&q=best&v=1&m=400&webp=1","300","RFL Round Laundry Basket (Red)","each"
"https://chaldn.com/_mpimage/npoly-laundry-basket-blue-15-x-15-inch-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115215&q=best&v=1&m=400&m=400&webp=1","210","Npoly Laundry Basket (Blue) 15 x 15 inch","each"
"https://chaldn.com/_mpimage/rfl-design-bucket-8-ltr-sm-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132751&q=best&v=1&m=400&webp=1","150","RFL Design Bucket 8 ltr (SM Blue)","each"
"https://chaldn.com/_mpimage/rfl-deluxe-bucket-15-ltr-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95523&q=best&v=1&m=400&webp=1","240","RFL Deluxe Bucket 15 ltr (Red)","each"
