imageWrapperWrapper src,price,nameTextWithEllipsis,subText
https://chaldn.com/_mpimage/deli-sticky-note-green-3-x-3-inch-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97749&q=best&v=1&m=400&m=400&webp=1,45,Deli Sticky Note Green (3 x 3 inch),each
https://chaldn.com/_mpimage/rfl-good-luck-a4-paper-65-gsm-500-sheet?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D99468&q=best&v=1&m=400&webp=1,280,RFL Good Luck A4 Paper 65 GSM 500 sheet,
https://chaldn.com/_mpimage/fresh-a4-size-paper-80-gsm-1-rim?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D79913&q=best&v=1&m=400&webp=1,520,Fresh A4 Size Paper (80 GSM) 1 Rim,
https://chaldn.com/_mpimage/double-a-a3-size-paper-80-gsm-1-rim?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106961&q=best&v=1&m=400&webp=1,1479,Double A A3 Size Paper (80 GSM) 1 rim,
https://chaldn.com/_mpimage/bashundhara-paper-a4-size-70-gsm-1-rim-1-pack?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D100165&q=best&v=1&m=400&webp=1,465,Bashundhara Paper A4 Size (70 GSM) 1 Rim,each
https://chaldn.com/_mpimage/bashundhara-paper-a4-size-80-gsm-1-rim-1-pack?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D100164&q=best&v=1&m=400&webp=1,520,Bashundhara Paper A4 Size (80 GSM) 1 rim,each
https://chaldn.com/_mpimage/century-a4-size-paper-80-gsm-1-rim-1-pack?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126633&q=best&v=1&m=400&webp=1,779,Century A4 Size Paper (80 GSM) 1 Rim,each
https://chaldn.com/_mpimage/sonali-a4-size-paper-65-gsm-1-rim?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135897&q=best&v=1&m=400&webp=1,640,Sonali A4 Size Paper (65 GSM) 1 Rim,
https://chaldn.com/_mpimage/paper-tech-a4-size-80-gsm-1-rim-1-pack?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D37651&q=best&v=1&m=400&webp=1,550,Paper Tech  A4 Size (80 GSM) 1 Rim,each
https://chaldn.com/_mpimage/double-a-legal-size-80-gsm-1-rim?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106974&q=best&v=1&m=400&webp=1,1079,Double A Legal Size (80 GSM) 1 rim,
https://chaldn.com/_mpimage/sonali-a4-size-paper-80-gsm-1-rim?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135896&q=best&v=1&m=400&webp=1,770,Sonali A4 Size Paper (80 GSM) 1 Rim,
https://chaldn.com/_mpimage/register-book-150-pages?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D43773&q=low&v=1&m=400&webp=1,90,Register Book 150 pages,
https://chaldn.com/_mpimage/rfl-good-luck-kids-arabic-book-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97369&q=best&v=1&m=400&m=400&webp=1,30,RFL Good Luck Kids Arabic Book,each
https://chaldn.com/_mpimage/rfl-good-luck-kids-dream-book-vol-1-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97356&q=best&v=1&m=400&webp=1,45,RFL Good Luck Kids Dream Book (Vol-1),each
https://chaldn.com/_mpimage/university-khata-300-pages-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D114550&q=best&v=1&m=400&webp=1,169,University khata 300 Pages,each
https://chaldn.com/_mpimage/register-book-300-page-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D9770&q=low&v=1&m=400&webp=1,179,Register Book 300 Page,each
https://chaldn.com/_mpimage/spiral-universe-khata-with-margin-78497-120-pages-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D79182&q=best&v=1&m=400&webp=1,75,Spiral Universe Khata With Margin (78497) 120 pages,each
https://chaldn.com/_mpimage/quran-majid-lucid-edition-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182476&q=best&v=1&m=400&webp=1,1295,Quran Majid (Lucid Edition),each
https://chaldn.com/_mpimage/quran-majid-signature-edition-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182710&q=best&v=1&m=400&webp=1,1295,Quran Majid (Signature Edition),each
https://chaldn.com/_mpimage/rfl-good-luck-drawing-book-52-page-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97370&q=best&v=1&m=400&m=400&webp=1,55,RFL Good Luck Drawing Book 52 Page,each
https://chaldn.com/_mpimage/fresh-standard-large-exercise-book-math-plain-204-pages-green-cover-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101833&q=best&v=1&m=400&m=400&webp=1,65,Fresh Standard Large Exercise Book (Math Plain 204 Pages) Green Cover,each
